"id1","id2"
"Q07540","P39676"
"Q07540","P00447"
"Q07540","P00445"
"Q12329","P38013"
"Q12329","P36060"
"Q12329","P38623"
"Q12329","P38820"
"P54783","P38715"
"P54783","P40581"
"P54783","P36060"
"P38013","Q08749"
"P38013","P53879"
"P38013","P32485"
"P38013","P40554"
"P38013","P34760"
"P32485","P40202"
"P32485","P33748"
"P32485","P32561"
"P32485","P11792"
"P32485","P48361"
"P32485","P34760"
"P32485","P38623"
"P32485","P22517"
"P32485","P43565"
"Q04120","P34760"
"P38715","P22517"
"P40553","P27466"
"P40202","P00445"
"P27466","P34220"
"P27466","P34227"
"P27466","P32642"
"P27466","P36152"
"P27466","Q07824"
"P38072","P23833"
"P32561","Q02784"
"P32561","P53127"
"P32561","Q03214"
"P38820","P34760"
"P38820","P40554"
"P38820","P38889"
"P47170","Q00582"
"Q02784","P34227"
"P53978","P38720"
"P14065","P33749"
"P11792","P35169"
"P11792","P43565"
"P11792","P32642"
"P11792","P25364"
"P36077","P34227"
"P36077","P34760"
"P34760","P38623"
"P34760","Q12055"
"P34760","P00431"
"P34760","P00445"
"P34760","P38230"
"P34760","P35169"
"P34760","P19880"
"P40029","P40581"
"P53127","Q03214"
"P00431","P00447"
"P00431","P00445"
"P38068","Q12154"
"P36152","Q12181"
"P33749","P53290"
"P33749","Q12154"
"Q06630","P36775"
"P38623","P20604"
"P36775","P38720"
"P36775","P39676"
"Q00582","P35169"
"Q00582","P53290"
"Q00582","P34078"
"Q00582","P38720"
"Q00582","P29509"
"Q06151","Q12123"
"P00445","P35169"
"P22517","P00447"
"P22517","P32642"
"P53879","P29509"
"P53169","P19880"
"P53290","P35169"
"P38315","P40581"
"P38315","P19880"
"P34078","P46683"
"P38816","P29509"
"P38816","P25372"
"P29509","P25372"
"P34227","P25372"
"P40581","P17695"
"Q12154","P17695"
