"id1","id2"
"Q07540","P0CX81"
"Q07540","P19880"
"Q07540","P0CX80"
"Q12329","P33748"
"Q12329","P33749"
"Q12329","Q12172"
"Q12329","Q03214"
"Q12329","P19880"
"Q12329","P38699"
"Q12329","P38889"
"P54783","P33748"
"P54783","P33749"
"P54783","Q12172"
"P54783","P19880"
"P32477","P33748"
"P32477","P33749"
"P32477","Q12172"
"P32477","Q03214"
"P32477","P19880"
"P32477","P38889"
"P38013","P33748"
"P38013","P53127"
"P38013","P33749"
"P38013","Q12172"
"P38013","Q03214"
"P38013","P19880"
"P38013","P38889"
"P89113","P32485"
"P89113","P33748"
"P89113","P53127"
"P89113","P33749"
"P89113","Q12172"
"P89113","Q03214"
"P89113","P19880"
"P89113","P38889"
"P32485","P32485"
"P32485","P47141"
"P32485","P31378"
"P32485","P22943"
"P32485","P47140"
"P32485","P53127"
"P32485","P33749"
"P32485","Q12172"
"P32485","Q03214"
"P32485","P19880"
"P32485","P38889"
"Q03497","P33748"
"Q03497","P33749"
"Q03497","P19880"
"Q03497","P38889"
"Q04120","P33748"
"Q04120","P33749"
"Q04120","Q12172"
"Q04120","P19880"
"Q04120","P38889"
"P38715","P33748"
"P38715","P33749"
"P38715","Q12172"
"P38715","P19880"
"P40553","P33748"
"P40553","P33749"
"P40553","P0CX81"
"P40553","P19880"
"P40553","P0CX80"
"P40202","P33748"
"P40202","P33749"
"P40202","P0CX81"
"P40202","P19880"
"P40202","P0CX80"
"P27466","P33748"
"P27466","Q12172"
"P27466","P19880"
"P33748","P33748"
"P33748","Q01476"
"P33748","P38067"
"P33748","P38820"
"P33748","P23833"
"P33748","P53978"
"P33748","P47141"
"P33748","P33751"
"P33748","P14065"
"P33748","P36077"
"P33748","P32339"
"P33748","P48361"
"P33748","P34760"
"P33748","P40029"
"P33748","Q12055"
"P33748","P00431"
"P33748","P36060"
"P33748","P15202"
"P33748","P32317"
"P33748","P38068"
"P33748","P36152"
"P33748","P33749"
"P33748","Q06630"
"P33748","P38623"
"P33748","Q04925"
"P33748","P0CX81"
"P33748","Q00582"
"P33748","Q06151"
"P33748","Q07551"
"P33748","P00445"
"P33748","Q12123"
"P33748","P20604"
"P33748","Q12438"
"P33748","Q03214"
"P33748","P43565"
"P33748","P53879"
"P33748","Q04432"
"P33748","P31378"
"P33748","Q96VH4"
"P33748","P47137"
"P33748","P38315"
"P33748","Q05515"
"P33748","P53615"
"P33748","P11412"
"P33748","P06115"
"P33748","P34078"
"P33748","Q03533"
"P33748","Q07824"
