"id1","id2"
"WBGene00006727","WBGene00001598"
"WBGene00006727","WBGene00000238"
"WBGene00006727","WBGene00001006"
"WBGene00006727","WBGene00004798"
"WBGene00006727","WBGene00000912"
"WBGene00006727","WBGene00003036"
"WBGene00006727","WBGene00004888"
"WBGene00006727","WBGene00017284"
"WBGene00006727","WBGene00017144"
"WBGene00006727","WBGene00011195"
"WBGene00006727","WBGene00011045"
"WBGene00006727","WBGene00013766"
"WBGene00006727","WBGene00016204"
"WBGene00006727","WBGene00008117"
"WBGene00006727","WBGene00009165"
"WBGene00006727","WBGene00004930"
"WBGene00006727","WBGene00006434"
"WBGene00006727","WBGene00004055"
"WBGene00006727","WBGene00003877"
"WBGene00006727","WBGene00003218"
"WBGene00006727","WBGene00001527"
"WBGene00006727","WBGene00001250"
"WBGene00006727","WBGene00001173"
"WBGene00006727","WBGene00000967"
"WBGene00006727","WBGene00000240"
"WBGene00011195","WBGene00004888"
"WBGene00011195","WBGene00006727"
"WBGene00011195","WBGene00017284"
"WBGene00011195","WBGene00021882"
"WBGene00011195","WBGene00009084"
"WBGene00011195","WBGene00006434"
"WBGene00011195","WBGene00013766"
"WBGene00011195","WBGene00012315"
"WBGene00011195","WBGene00004931"
"WBGene00011195","WBGene00004798"
"WBGene00011195","WBGene00001527"
"WBGene00011195","WBGene00000240"
"WBGene00011195","WBGene00001173"
"WBGene00004888","WBGene00017284"
"WBGene00004888","WBGene00004134"
"WBGene00004888","WBGene00004798"
"WBGene00004888","WBGene00003623"
"WBGene00004888","WBGene00003037"
"WBGene00004888","WBGene00011195"
"WBGene00004888","WBGene00021882"
"WBGene00004888","WBGene00001994"
"WBGene00004888","WBGene00003847"
"WBGene00004888","WBGene00008117"
"WBGene00004888","WBGene00004930"
"WBGene00004888","WBGene00001194"
"WBGene00004888","WBGene00003087"
"WBGene00004888","WBGene00011110"
"WBGene00004888","WBGene00016391"
"WBGene00004888","WBGene00006727"
"WBGene00004888","WBGene00003036"
"WBGene00004888","WBGene00003822"
"WBGene00004888","WBGene00004931"
"WBGene00004888","WBGene00004773"
"WBGene00004888","WBGene00006964"
"WBGene00004888","WBGene00004055"
"WBGene00004888","WBGene00004256"
"WBGene00004888","WBGene00001061"
"WBGene00004888","WBGene00000912"
"WBGene00004888","WBGene00003020"
"WBGene00004888","WBGene00011045"
"WBGene00004888","WBGene00001827"
"WBGene00004888","WBGene00001598"
"WBGene00004888","WBGene00004015"
"WBGene00004888","WBGene00015184"
"WBGene00004888","WBGene00021929"
"WBGene00004888","WBGene00000967"
"WBGene00004888","WBGene00000831"
"WBGene00004888","WBGene00000253"
"WBGene00004888","WBGene00001006"
"WBGene00004888","WBGene00023497"
"WBGene00004888","WBGene00013766"
"WBGene00004888","WBGene00001086"
"WBGene00004888","WBGene00003002"
"WBGene00004888","WBGene00000223"
"WBGene00004888","WBGene00009084"
"WBGene00004888","WBGene00003218"
"WBGene00004888","WBGene00006434"
"WBGene00004096","WBGene00006604"
"WBGene00004096","WBGene00017690"
"WBGene00003037","WBGene00006604"
"WBGene00003037","WBGene00006796"
"WBGene00003037","WBGene00004888"
"WBGene00004798","WBGene00009272"
"WBGene00004798","WBGene00011195"
"WBGene00004798","WBGene00004134"
"WBGene00004798","WBGene00001598"
"WBGene00004798","WBGene00001006"
"WBGene00004798","WBGene00000240"
"WBGene00004798","WBGene00011045"
"WBGene00004798","WBGene00008117"
"WBGene00004798","WBGene00004931"
"WBGene00004798","WBGene00015184"
"WBGene00004798","WBGene00013766"
"WBGene00004798","WBGene00001527"
"WBGene00004798","WBGene00011110"
"WBGene00004798","WBGene00004015"
"WBGene00004798","WBGene00004930"
"WBGene00004798","WBGene00004888"
"WBGene00004798","WBGene00003036"
"WBGene00004798","WBGene00004014"
"WBGene00004798","WBGene00006727"
"WBGene00001006","WBGene00001598"
"WBGene00001006","WBGene00004888"
"WBGene00001006","WBGene00004931"
"WBGene00001006","WBGene00021929"
"WBGene00001006","WBGene00000831"
"WBGene00001006","WBGene00004798"
"WBGene00001006","WBGene00020511"
"WBGene00001006","WBGene00003225"
"WBGene00001006","WBGene00003036"
"WBGene00001006","WBGene00003020"
"WBGene00001006","WBGene00011110"
"WBGene00001006","WBGene00006434"
"WBGene00001006","WBGene00004015"
"WBGene00001006","WBGene00004014"
"WBGene00001006","WBGene00006727"
"WBGene00001006","WBGene00009084"
"WBGene00001006","WBGene00020902"
"WBGene00004393","WBGene00004055"
"WBGene00004393","WBGene00006604"
"WBGene00004055","WBGene00004758"
"WBGene00004055","WBGene00000223"
"WBGene00004055","WBGene00004888"
"WBGene00004055","WBGene00006727"
"WBGene00004055","WBGene00004804"
"WBGene00004055","WBGene00004393"
"WBGene00006604","WBGene00004393"
"WBGene00006604","WBGene00004013"
"WBGene00006604","WBGene00004857"
"WBGene00006604","WBGene00003037"
"WBGene00006604","WBGene00004096"
"WBGene00006604","WBGene00006796"
"WBGene00000366","WBGene00000467"
"WBGene00000366","WBGene00000912"
"WBGene00000366","WBGene00004804"
"WBGene00003102","WBGene00003024"
"WBGene00004804","WBGene00001251"
"WBGene00004804","WBGene00004055"
"WBGene00004804","WBGene00013766"
"WBGene00004804","WBGene00000366"
"WBGene00000238","WBGene00000912"
"WBGene00000238","WBGene00006727"
"WBGene00003024","WBGene00003102"
"WBGene00006796","WBGene00003087"
"WBGene00006796","WBGene00003637"
"WBGene00006796","WBGene00004013"
"WBGene00006796","WBGene00003847"
"WBGene00006796","WBGene00006604"
"WBGene00006796","WBGene00017690"
"WBGene00006796","WBGene00003037"
"WBGene00006796","WBGene00000223"
"WBGene00003623","WBGene00004888"
"WBGene00000912","WBGene00004888"
"WBGene00000912","WBGene00003633"
"WBGene00000912","WBGene00004013"
"WBGene00000912","WBGene00004857"
"WBGene00000912","WBGene00000366"
"WBGene00000912","WBGene00000223"
"WBGene00000912","WBGene00003036"
"WBGene00000912","WBGene00011614"
"WBGene00000912","WBGene00004930"
"WBGene00000912","WBGene00000238"
"WBGene00000912","WBGene00001194"
"WBGene00000912","WBGene00013766"
"WBGene00000912","WBGene00011110"
"WBGene00000912","WBGene00006727"
"WBGene00004857","WBGene00006604"
"WBGene00004857","WBGene00000912"
"WBGene00000223","WBGene00006796"
"WBGene00000223","WBGene00004888"
"WBGene00000223","WBGene00000912"
"WBGene00000223","WBGene00004055"
"WBGene00012005","WBGene00001345"
"WBGene00012005","WBGene00004013"
"WBGene00012005","WBGene00003218"
"WBGene00012005","WBGene00003605"
"WBGene00004773","WBGene00004888"
"WBGene00003605","WBGene00004758"
"WBGene00003605","WBGene00012005"
"WBGene00001250","WBGene00006727"
