"id1","id2"
"FBgn0266599","FBgn0004647"
"FBgn0003165","FBgn0003731"
"FBgn0003165","FBgn0003256"
"FBgn0003165","FBgn0029891"
"FBgn0015765","FBgn0024846"
"FBgn0015765","FBgn0000261"
"FBgn0005626","FBgn0010051"
"FBgn0041094","FBgn0010379"
"FBgn0036165","FBgn0010379"
"FBgn0000229","FBgn0003205"
"FBgn0000229","FBgn0243512"
"FBgn0000229","FBgn0003371"
"FBgn0000229","FBgn0004647"
"FBgn0000229","FBgn0038197"
"FBgn0000229","FBgn0010051"
"FBgn0000229","FBgn0000635"
"FBgn0000229","FBgn0015279"
"FBgn0000229","FBgn0036756"
"FBgn0000229","FBgn0034110"
"FBgn0000229","FBgn0260945"
"FBgn0000229","FBgn0260789"
"FBgn0000229","FBgn0031820"
"FBgn0000229","FBgn0041100"
"FBgn0000229","FBgn0032210"
"FBgn0038197","FBgn0015279"
"FBgn0038197","FBgn0010379"
"FBgn0038197","FBgn0026761"
"FBgn0038197","FBgn0283499"
"FBgn0038197","FBgn0041100"
"FBgn0038197","FBgn0038402"
"FBgn0038197","FBgn0243512"
"FBgn0038197","FBgn0031820"
"FBgn0038197","FBgn0260945"
"FBgn0038197","FBgn0029891"
"FBgn0038197","FBgn0036756"
"FBgn0283472","FBgn0038197"
"FBgn0283472","FBgn0260945"
"FBgn0283472","FBgn0015279"
"FBgn0283472","FBgn0003205"
"FBgn0283472","FBgn0034110"
"FBgn0026761","FBgn0029891"
"FBgn0026761","FBgn0041100"
"FBgn0003205","FBgn0015279"
"FBgn0003205","FBgn0015269"
"FBgn0003205","FBgn0003731"
"FBgn0003205","FBgn0003256"
"FBgn0003205","FBgn0003165"
"FBgn0003205","FBgn0262975"
"FBgn0003205","FBgn0260945"
"FBgn0003205","FBgn0283499"
"FBgn0003205","FBgn0010051"
"FBgn0283499","FBgn0015279"
"FBgn0283499","FBgn0034110"
"FBgn0283499","FBgn0003205"
"FBgn0000635","FBgn0003731"
"FBgn0000635","FBgn0000108"
"FBgn0000635","FBgn0000229"
"FBgn0001233","FBgn0003731"
"FBgn0003731","FBgn0260945"
"FBgn0003731","FBgn0003256"
"FBgn0003731","FBgn0003205"
"FBgn0003731","FBgn0004647"
"FBgn0010379","FBgn0038197"
"FBgn0010379","FBgn0003205"
"FBgn0010379","FBgn0283472"
"FBgn0010379","FBgn0015279"
"FBgn0010379","FBgn0004647"
"FBgn0010379","FBgn0034110"
"FBgn0010379","FBgn0033885"
"FBgn0000108","FBgn0000635"
"FBgn0000108","FBgn0028471"
"FBgn0264922","FBgn0003205"
"FBgn0000261","FBgn0035438"
"FBgn0000261","FBgn0020653"
"FBgn0000261","FBgn0011205"
"FBgn0000261","FBgn0262975"
"FBgn0000261","FBgn0041100"
"FBgn0000261","FBgn0001248"
"FBgn0000261","FBgn0038465"
"FBgn0000261","FBgn0036756"
"FBgn0000261","FBgn0030092"
"FBgn0024846","FBgn0000261"
"FBgn0010213","FBgn0029891"
"FBgn0010213","FBgn0003462"
"FBgn0010213","FBgn0262975"
"FBgn0010213","FBgn0038402"
"FBgn0010213","FBgn0024846"
"FBgn0010213","FBgn0015765"
"FBgn0010213","FBgn0001248"
"FBgn0010213","FBgn0041100"
"FBgn0039802","FBgn0029891"
"FBgn0039802","FBgn0260747"
"FBgn0039802","FBgn0038197"
"FBgn0039802","FBgn0003256"
"FBgn0039802","FBgn0003205"
"FBgn0034110","FBgn0260945"
"FBgn0034110","FBgn0243512"
"FBgn0262975","FBgn0038475"
"FBgn0262975","FBgn0003205"
"FBgn0262975","FBgn0029891"
"FBgn0262975","FBgn0041100"
"FBgn0262975","FBgn0260945"
"FBgn0035438","FBgn0000261"
"FBgn0260945","FBgn0034110"
"FBgn0260945","FBgn0243512"
"FBgn0260945","FBgn0041100"
"FBgn0260945","FBgn0003256"
"FBgn0260945","FBgn0029891"
"FBgn0036892","FBgn0029891"
"FBgn0020653","FBgn0011205"
"FBgn0020653","FBgn0038570"
"FBgn0020653","FBgn0038519"
"FBgn0003371","FBgn0004647"
"FBgn0003371","FBgn0243512"
"FBgn0015774","FBgn0003205"
"FBgn0004647","FBgn0003731"
"FBgn0004647","FBgn0029891"
"FBgn0004647","FBgn0003205"
"FBgn0004647","FBgn0283499"
"FBgn0036756","FBgn0038197"
"FBgn0003256","FBgn0086361"
"FBgn0003256","FBgn0003205"
"FBgn0003256","FBgn0003731"
"FBgn0003256","FBgn0000635"
"FBgn0003256","FBgn0015269"
"FBgn0003256","FBgn0260945"
"FBgn0038475","FBgn0262975"
"FBgn0038475","FBgn0029891"
"FBgn0038475","FBgn0036756"
"FBgn0261560","FBgn0029891"
"FBgn0261560","FBgn0010379"
"FBgn0261560","FBgn0038197"
"FBgn0261560","FBgn0015279"
"FBgn0261560","FBgn0041100"
"FBgn0261560","FBgn0260747"
"FBgn0041100","FBgn0029891"
"FBgn0041100","FBgn0000229"
"FBgn0041100","FBgn0243512"
"FBgn0041100","FBgn0260945"
"FBgn0041100","FBgn0260747"
"FBgn0263933","FBgn0015279"
"FBgn0263933","FBgn0003731"
"FBgn0263933","FBgn0004647"
"FBgn0015279","FBgn0283499"
"FBgn0015279","FBgn0038197"
"FBgn0015279","FBgn0003205"
"FBgn0015279","FBgn0034110"
"FBgn0015279","FBgn0003256"
"FBgn0015279","FBgn0010051"
"FBgn0015279","FBgn0033885"
"FBgn0003462","FBgn0020653"
"FBgn0003462","FBgn0041100"
"FBgn0003462","FBgn0011205"
"FBgn0003462","FBgn0036756"
"FBgn0003462","FBgn0010213"
"FBgn0003462","FBgn0029891"
"FBgn0264325","FBgn0243512"
"FBgn0000173","FBgn0003205"
"FBgn0243512","FBgn0000229"
"FBgn0243512","FBgn0038465"
"FBgn0243512","FBgn0263933"
"FBgn0243512","FBgn0031820"
"FBgn0243512","FBgn0086711"
"FBgn0243512","FBgn0034110"
"FBgn0243512","FBgn0003256"
"FBgn0243512","FBgn0041100"
"FBgn0243512","FBgn0028471"
"FBgn0243512","FBgn0263316"
"FBgn0243512","FBgn0003205"
"FBgn0029891","FBgn0004647"
"FBgn0029891","FBgn0041100"
"FBgn0029891","FBgn0260945"
"FBgn0029891","FBgn0260747"
"FBgn0010051","FBgn0041100"
"FBgn0010051","FBgn0029891"
"FBgn0038519","FBgn0038570"
"FBgn0086361","FBgn0003256"
"FBgn0086361","FBgn0003205"
"FBgn0038570","FBgn0038519"
"FBgn0027864","FBgn0010213"
"FBgn0038402","FBgn0038197"
"FBgn0038402","FBgn0041100"
"FBgn0033885","FBgn0029891"
"FBgn0033885","FBgn0003205"
"FBgn0260747","FBgn0041100"
"FBgn0260747","FBgn0029891"
