id1,id2,geneName1,geneName2
Q9I9P9,A0A2R8Q1W5,smad2,keap1b
Q9I9E1,Q9I9P9,foxh1,smad2
E7F079,A7MD59,hmox2b,hmox2a
Q1ECZ2,A0A2R8Q1W5,keap1a,keap1b
B0UXS0,E7F079,hmox1a,hmox2b
B0UXS0,A7MD59,hmox1a,hmox2a
Q6P980,O73872,sod2,sod1
Q7ZV14,Q7T3D1,gpx8,ero1a
Q7T3D1,Q6P3G9,ero1a,erp44
Q6P3G9,Q6DGJ6,erp44,prdx2
Q6P3G9,A2AWE1,erp44,prdx1
Q6DGJ6,A2AWE1,prdx2,prdx1
A0A2R8Q1W5,Q9I9P9,keap1b,smad2
Q9I9P9,Q9I9E1,smad2,foxh1
A7MD59,E7F079,hmox2a,hmox2b
A0A2R8Q1W5,Q1ECZ2,keap1b,keap1a
E7F079,B0UXS0,hmox2b,hmox1a
A7MD59,B0UXS0,hmox2a,hmox1a
O73872,Q6P980,sod1,sod2
Q7T3D1,Q7ZV14,ero1a,gpx8
Q6P3G9,Q7T3D1,erp44,ero1a
Q6DGJ6,Q6P3G9,prdx2,erp44
A2AWE1,Q6P3G9,prdx1,erp44
A2AWE1,Q6DGJ6,prdx1,prdx2
