id1,id2,geneName1,geneName2
Q6P0E1,Q1ECZ2,sox2,keap1a
Q6P0E1,A0A0R4ILJ8,sox2,glrx2
Q6P0E1,Q6P0E1,sox2,sox2
Q6EHI4,A0A0R4ICG0,hif1ab,per1a
Q6EHI4,Q6DGJ6,hif1ab,prdx2
Q6EHI4,I3ISS4,hif1ab,oxr1b
Q6EHI4,A4QN37,hif1ab,cry1a
Q6EHI4,A0A2R8Q1W5,hif1ab,keap1b
Q6EHI4,Q6P980,hif1ab,sod2
Q6TEL1,A7MD59,rad21a,hmox2a
Q6TEL1,Q6P026,rad21a,banf1
Q6TEL1,A0A2R8Q1W5,rad21a,keap1b
Q6TEL1,Q5XJ36,rad21a,park7
Q6TEL1,Q6P3G9,rad21a,erp44
Q6TEL1,Q5XJ48,rad21a,gpx1a
Q6TEL1,Q6NW59,rad21a,atf4
Q6TEL1,F1QDM9,rad21a,apodb
Q6TEL1,Q6TEL1,rad21a,rad21a
Q9I9P9,Q6P026,smad2,banf1
Q9I9P9,A2AWE1,smad2,prdx1
Q9I9P9,Q1ECZ2,smad2,keap1a
Q9I9P9,A0A0R4ICG0,smad2,per1a
Q9I9P9,Q9I9P9,smad2,smad2
Q9I9E1,Q6EHI4,foxh1,hif1ab
Q9I9E1,E7F079,foxh1,hmox2b
Q9I9E1,Q5RI06,foxh1,ptgs2b
Q9I9E1,F1QUT1,foxh1,per2
Q9I9E1,A4QN37,foxh1,cry1a
Q9I9E1,Q6P026,foxh1,banf1
Q9I9E1,Q502C8,foxh1,prdx5
Q9I9E1,A0A2R8Q1W5,foxh1,keap1b
Q9I9E1,A5JNG8,foxh1,nanog
Q9I9E1,Q1ECZ2,foxh1,keap1a
Q9I9E1,Q6P0E1,foxh1,sox2
A5JNG8,F1Q6Z6,nanog,txnrd2.2
A5JNG8,A2AWE1,nanog,prdx1
A5JNG8,Q6TEL1,nanog,rad21a
A5JNG8,Q1ECZ2,nanog,keap1a
A5JNG8,F8W555,nanog,reep1
A5JNG8,A0A0R4ILJ8,nanog,glrx2
A5JNG8,Q6P0E1,nanog,sox2
A5JNG8,Q9I9P9,nanog,smad2
A5JNG8,Q5PR55,nanog,zgc:103499
A5JNG8,Q6P980,nanog,sod2
A5JNG8,B0UXS0,nanog,hmox1a
A5JNG8,Q6EHI4,nanog,hif1ab
A5JNG8,B0V1A9,nanog,fancc
A5JNG8,A0A0R4ICG0,nanog,per1a
A5JNG8,O73872,nanog,sod1
A5JNG8,F1QIW1,nanog,brf2
A5JNG8,Q6NYD1,nanog,romo1
A5JNG8,Q5RI06,nanog,ptgs2b
A5JNG8,Q1LWV7,nanog,meak7
A5JNG8,F1QUT1,nanog,per2
A5JNG8,Q5TZ05,nanog,msra
A5JNG8,Q6NW59,nanog,atf4
A5JNG8,F1QDM9,nanog,apodb
A5JNG8,Q6DGV7,nanog,mpv17l2
A5JNG8,A4QN37,nanog,cry1a
A5JNG8,Q6P026,nanog,banf1
A5JNG8,Q503D8,nanog,txndc12
A5JNG8,Q502C8,nanog,prdx5
A5JNG8,A0A2R8Q1W5,nanog,keap1b
A5JNG8,Q5TZ51,nanog,mpv17
A5JNG8,Q6P3G9,nanog,erp44
A5JNG8,A5JNG8,nanog,nanog
Q05AJ3,F1QDM9,gata1a,apodb
Q05AJ3,A4QN37,gata1a,cry1a
Q05AJ3,A0A2R8Q1W5,gata1a,keap1b
Q05AJ3,F1Q6Z6,gata1a,txnrd2.2
Q05AJ3,Q9I9P9,gata1a,smad2
Q05AJ3,Q6NYD1,gata1a,romo1
Q05AJ3,Q05AJ3,gata1a,gata1a
F1QDF2,Q6NW59,sall4,atf4
F1QDF2,A4QN37,sall4,cry1a
F1QDF2,Q502C8,sall4,prdx5
F1QDF2,A0A2R8Q1W5,sall4,keap1b
F1QDF2,Q5XJ48,sall4,gpx1a
F1QDF2,Q6TEL1,sall4,rad21a
F1QDF2,A2AWE1,sall4,prdx1
F1QDF2,Q1ECZ2,sall4,keap1a
F1QDF2,A0A0R4ILJ8,sall4,glrx2
F1QDF2,Q6P0E1,sall4,sox2
F1QDF2,Q9I9P9,sall4,smad2
F1QDF2,B0UXS0,sall4,hmox1a
F1QDF2,A0A0R4ICG0,sall4,per1a
F1QDF2,F1QIW1,sall4,brf2
