-570483484807175738 : (((0, 1), (0, 1), (1, 1)), 0), Orbit 0
8584829176945311384 : (((0, 1), (0, 1), (1, 1)), 1), Orbit 1
-7767707552774498858 : (((0, 1), (0, 4), (1, 5)), 0), Orbit 0
-1260066796672500433 : (((0, 1), (0, 4), (1, 5)), 1), Orbit 1
5247573959429497992 : (((0, 1), (0, 4), (1, 5)), 2), Orbit 2
-971996325930738512 : (((0, 1), (0, 5), (1, 4)), 0), Orbit 0
5535644430171259913 : (((0, 1), (0, 5), (1, 4)), 1), Orbit 1
642570401198563547 : (((0, 1), (0, 5), (1, 4)), 2), Orbit 2
1542489596949446448 : (((0, 4), (0, 4), (5, 5)), 0), Orbit 0
8050130353051444873 : (((0, 4), (0, 4), (5, 5)), 1), Orbit 1
7440160337502282748 : (((0, 5), (0, 5), (4, 4)), 0), Orbit 0
-8897300363089638571 : (((0, 5), (0, 5), (4, 4)), 1), Orbit 1
2228030756378522308 : (((0, 4), (0, 5), (4, 5)), 0), Orbit 0
8735671512480520733 : (((0, 4), (0, 5), (4, 5)), 1), Orbit 1
3842597483507824367 : (((0, 4), (0, 5), (4, 5)), 2), Orbit 2
1685742213201249094 : (((0, 1), (0, 7), (1, 7)), 0), Orbit 0
8193382969303247519 : (((0, 1), (0, 7), (1, 7)), 1), Orbit 1
-1098048442653816975 : (((0, 1), (0, 7), (1, 7)), 2), Orbit 2
-8862457406785222086 : (((0, 5), (0, 7), (4, 7)), 0), Orbit 0
-2354816650683223661 : (((0, 5), (0, 7), (4, 7)), 1), Orbit 1
6800496011069263461 : (((0, 5), (0, 7), (4, 7)), 2), Orbit 2
2294294950825738441 : (((0, 1), (0, 3), (1, 2)), 0), Orbit 0
4403578323943368738 : (((0, 1), (0, 3), (1, 2)), 1), Orbit 1
-489495705029327628 : (((0, 1), (0, 3), (1, 2)), 2), Orbit 2
5885341308989688309 : (((0, 1), (0, 2), (1, 3)), 0), Orbit 0
-6053762008617864882 : (((0, 1), (0, 2), (1, 3)), 1), Orbit 1
453878747484133543 : (((0, 1), (0, 2), (1, 3)), 2), Orbit 2
2381119597894304962 : (((0, 1), (0, 6), (1, 6)), 0), Orbit 0
-2511954431078391404 : (((0, 1), (0, 6), (1, 6)), 1), Orbit 1
-402671057960761107 : (((0, 1), (0, 6), (1, 6)), 2), Orbit 2
-6138361009325618804 : (((0, 2), (0, 4), (3, 5)), 0), Orbit 0
7415309035411236446 : (((0, 2), (0, 4), (3, 5)), 1), Orbit 1
-8922151665180684873 : (((0, 2), (0, 4), (3, 5)), 2), Orbit 2
-977464063009936977 : (((0, 3), (0, 5), (2, 4)), 0), Orbit 0
5530176693092061448 : (((0, 3), (0, 5), (2, 4)), 1), Orbit 1
637102664119365082 : (((0, 3), (0, 5), (2, 4)), 2), Orbit 2
2332399896509195867 : (((0, 3), (0, 4), (2, 5)), 0), Orbit 0
-2560674132463500499 : (((0, 3), (0, 4), (2, 5)), 1), Orbit 1
3946966623638497926 : (((0, 3), (0, 4), (2, 5)), 2), Orbit 2
-2692684081743761124 : (((0, 5), (0, 6), (4, 6)), 0), Orbit 0
-7585758110716457490 : (((0, 5), (0, 6), (4, 6)), 1), Orbit 1
-1078117354614459065 : (((0, 5), (0, 6), (4, 6)), 2), Orbit 2
4440508509365506163 : (((0, 3), (0, 7), (2, 7)), 0), Orbit 0
-7498594808242047028 : (((0, 3), (0, 7), (2, 7)), 1), Orbit 1
-990954052140048603 : (((0, 3), (0, 7), (2, 7)), 2), Orbit 2
-9162185517347339679 : (((0, 2), (0, 2), (3, 3)), 0), Orbit 0
-2654544761245341254 : (((0, 2), (0, 2), (3, 3)), 1), Orbit 1
8241164337113855616 : (((0, 3), (0, 3), (2, 2)), 0), Orbit 0
-8096296363478065703 : (((0, 3), (0, 3), (2, 2)), 1), Orbit 1
2174462418498732733 : (((0, 2), (0, 3), (2, 3)), 0), Orbit 0
8682103174600731158 : (((0, 2), (0, 3), (2, 3)), 1), Orbit 1
-609328237356333336 : (((0, 2), (0, 3), (2, 3)), 2), Orbit 2
3512507447134253518 : (((0, 3), (0, 6), (2, 6)), 0), Orbit 0
-1380566581838442848 : (((0, 3), (0, 6), (2, 6)), 1), Orbit 1
5127074174263555577 : (((0, 3), (0, 6), (2, 6)), 2), Orbit 2
7929401078899678896 : (((0, 2), (0, 6), (3, 6)), 0), Orbit 0
3036327049926982530 : (((0, 2), (0, 6), (3, 6)), 1), Orbit 1
-8902776267680570661 : (((0, 2), (0, 6), (3, 6)), 2), Orbit 2
-8600115296256494036 : (((0, 6), (0, 6), (6, 6)), 0), Orbit 0
555197365495993086 : (((0, 6), (0, 6), (6, 6)), 1), Orbit 1
6218752376828050587 : (((1, 1), (1, 1), (1, 1)), 0), Orbit 0
8053052423423427966 : (((1, 1), (1, 4), (1, 5)), 0), Orbit 0
-1238378988533636528 : (((1, 1), (1, 4), (1, 5)), 1), Orbit 1
5269261767568361897 : (((1, 1), (1, 4), (1, 5)), 2), Orbit 2
4966298199092827943 : (((1, 5), (1, 5), (4, 4)), 0), Orbit 0
7075581572210458240 : (((1, 5), (1, 5), (4, 4)), 1), Orbit 1
2671779326159165527 : (((1, 4), (1, 5), (4, 5)), 0), Orbit 0
9179420082261163952 : (((1, 4), (1, 5), (4, 5)), 1), Orbit 1
-112011329695900542 : (((1, 4), (1, 5), (4, 5)), 2), Orbit 2
5517581252270825991 : (((4, 4), (4, 5), (5, 5)), 0), Orbit 0
-3773850159686238503 : (((4, 4), (4, 5), (5, 5)), 1), Orbit 1
2733790596415759922 : (((4, 4), (4, 5), (5, 5)), 2), Orbit 2
2267001422336930738 : (((1, 1), (1, 7), (1, 7)), 0), Orbit 0
8774642178438929163 : (((1, 1), (1, 7), (1, 7)), 1), Orbit 1
2378002535388204216 : (((1, 1), (1, 2), (1, 3)), 0), Orbit 0
-2515071493584492150 : (((1, 1), (1, 2), (1, 3)), 1), Orbit 1
3992569262517506275 : (((1, 1), (1, 2), (1, 3)), 2), Orbit 2
-755698462565858964 : (((1, 2), (1, 4), (3, 5)), 0), Orbit 0
5751942293536139461 : (((1, 2), (1, 4), (3, 5)), 1), Orbit 1
-3539489118420925033 : (((1, 2), (1, 4), (3, 5)), 2), Orbit 2
9060269476354226280 : (((1, 2), (1, 5), (3, 4)), 0), Orbit 0
4167195447381529914 : (((1, 2), (1, 5), (3, 4)), 1), Orbit 1
-7771907870226023277 : (((1, 2), (1, 5), (3, 4)), 2), Orbit 2
163721112953436391 : (((1, 3), (1, 5), (2, 4)), 0), Orbit 0
-4729352916019259975 : (((1, 3), (1, 5), (2, 4)), 1), Orbit 1
-2620069542901629678 : (((1, 3), (1, 5), (2, 4)), 2), Orbit 2
7840238755437739772 : (((2, 4), (3, 4), (5, 5)), 0), Orbit 0
2947164726465043406 : (((2, 4), (3, 4), (5, 5)), 1), Orbit 1
