graphlet	id	count
((0, 3), (0, 3), (2, 2))	22	882738
((0, 1), (0, 1), (1, 1))	0	71727
((0, 1), (0, 3), (1, 2))	10	71369
((1, 1), (1, 1), (1, 1))	27	42900
((0, 3), (0, 5), (2, 4))	14	13741
((0, 1), (0, 2), (1, 3))	11	11767
((0, 2), (0, 3), (2, 3))	23	6458
((1, 3), (1, 3), (2, 2))	71	4656
((0, 3), (0, 6), (2, 6))	24	2720
((0, 2), (0, 2), (3, 3))	21	2562
((2, 2), (2, 3), (3, 3))	91	2027
((0, 1), (0, 5), (1, 4))	2	1885
((0, 3), (0, 7), (2, 7))	18	1109
((0, 1), (0, 4), (1, 5))	1	347
((2, 6), (2, 6), (3, 3))	94	219
((1, 1), (1, 2), (1, 3))	43	148
((0, 3), (0, 4), (2, 5))	15	119
((1, 1), (1, 4), (1, 5))	28	106
((2, 4), (2, 5), (3, 3))	75	94
((2, 2), (3, 4), (3, 5))	76	93
((1, 3), (1, 5), (2, 4))	47	90
((2, 7), (2, 7), (3, 3))	84	73
((1, 2), (1, 2), (3, 3))	69	71
((0, 5), (0, 5), (4, 4))	4	49
((0, 2), (0, 4), (3, 5))	13	47
((0, 2), (0, 5), (3, 4))	97	44
((1, 5), (1, 5), (4, 4))	30	39
((1, 1), (1, 7), (1, 7))	34	38
((0, 1), (0, 7), (1, 7))	6	37
((1, 2), (1, 3), (2, 3))	70	26
((0, 1), (0, 6), (1, 6))	12	16
((0, 5), (0, 6), (4, 6))	17	16
((2, 3), (2, 4), (3, 5))	77	14
((0, 2), (0, 6), (3, 6))	25	9
((0, 5), (0, 7), (4, 7))	7	8
((1, 2), (1, 4), (3, 5))	44	8
((0, 4), (0, 5), (4, 5))	5	6
((1, 3), (1, 7), (2, 7))	62	5
((2, 2), (3, 7), (3, 7))	86	5
((2, 2), (3, 6), (3, 6))	93	5
((4, 4), (4, 5), (5, 5))	33	4
((2, 4), (3, 5), (4, 5))	51	4
((1, 5), (1, 6), (4, 6))	54	4
((2, 7), (3, 5), (4, 7))	66	4
((2, 6), (3, 5), (4, 6))	80	3
((2, 3), (2, 6), (3, 6))	92	3
((1, 1), (1, 6), (1, 6))	52	2
((4, 6), (4, 6), (5, 5))	57	2
((1, 3), (1, 6), (2, 6))	73	2
((0, 4), (0, 4), (5, 5))	3	1
((0, 6), (0, 6), (6, 6))	26	1
((1, 4), (1, 5), (4, 5))	31	1
((1, 2), (1, 5), (3, 4))	45	1
((2, 4), (3, 4), (5, 5))	50	1
((2, 7), (3, 6), (6, 7))	87	1
((2, 6), (3, 7), (6, 7))	88	1
((2, 3), (2, 3), (2, 3))	90	1
((2, 6), (3, 6), (6, 6))	95	1
