orbit	id	count
(((0, 3), (0, 3), (2, 2)), 0), Orbit 0	64	1765476
(((0, 3), (0, 3), (2, 2)), 1), Orbit 1	65	882738
(((0, 1), (0, 1), (1, 1)), 0), Orbit 0	0	143454
(((1, 1), (1, 1), (1, 1)), 0), Orbit 0	77	128700
(((0, 1), (0, 1), (1, 1)), 1), Orbit 1	1	71727
(((0, 1), (0, 3), (1, 2)), 0), Orbit 0	26	71369
(((0, 1), (0, 3), (1, 2)), 1), Orbit 1	27	71369
(((0, 1), (0, 3), (1, 2)), 2), Orbit 2	28	71369
(((0, 3), (0, 5), (2, 4)), 0), Orbit 0	41	13741
(((0, 3), (0, 5), (2, 4)), 1), Orbit 1	42	13741
(((0, 3), (0, 5), (2, 4)), 2), Orbit 2	43	13741
(((0, 1), (0, 2), (1, 3)), 0), Orbit 0	29	11767
(((0, 1), (0, 2), (1, 3)), 1), Orbit 1	30	11767
(((0, 1), (0, 2), (1, 3)), 2), Orbit 2	31	11767
(((1, 3), (1, 3), (2, 2)), 0), Orbit 0	192	9312
(((0, 2), (0, 3), (2, 3)), 0), Orbit 0	66	6458
(((0, 2), (0, 3), (2, 3)), 1), Orbit 1	67	6458
(((0, 2), (0, 3), (2, 3)), 2), Orbit 2	68	6458
(((0, 2), (0, 2), (3, 3)), 0), Orbit 0	62	5124
(((1, 3), (1, 3), (2, 2)), 1), Orbit 1	193	4656
(((0, 3), (0, 6), (2, 6)), 0), Orbit 0	69	2720
(((0, 3), (0, 6), (2, 6)), 1), Orbit 1	70	2720
(((0, 3), (0, 6), (2, 6)), 2), Orbit 2	71	2720
(((0, 2), (0, 2), (3, 3)), 1), Orbit 1	63	2562
(((2, 2), (2, 3), (3, 3)), 0), Orbit 0	245	2027
(((2, 2), (2, 3), (3, 3)), 1), Orbit 1	246	2027
(((2, 2), (2, 3), (3, 3)), 2), Orbit 2	247	2027
(((0, 1), (0, 5), (1, 4)), 0), Orbit 0	5	1885
(((0, 1), (0, 5), (1, 4)), 1), Orbit 1	6	1885
(((0, 1), (0, 5), (1, 4)), 2), Orbit 2	7	1885
(((0, 3), (0, 7), (2, 7)), 0), Orbit 0	53	1109
(((0, 3), (0, 7), (2, 7)), 1), Orbit 1	54	1109
(((0, 3), (0, 7), (2, 7)), 2), Orbit 2	55	1109
(((2, 6), (2, 6), (3, 3)), 0), Orbit 0	253	438
(((0, 1), (0, 4), (1, 5)), 0), Orbit 0	2	347
(((0, 1), (0, 4), (1, 5)), 1), Orbit 1	3	347
(((0, 1), (0, 4), (1, 5)), 2), Orbit 2	4	347
(((2, 6), (2, 6), (3, 3)), 1), Orbit 1	254	219
(((1, 1), (1, 2), (1, 3)), 0), Orbit 0	113	148
(((1, 1), (1, 2), (1, 3)), 1), Orbit 1	114	148
(((1, 1), (1, 2), (1, 3)), 2), Orbit 2	115	148
(((2, 7), (2, 7), (3, 3)), 0), Orbit 0	229	146
(((1, 2), (1, 2), (3, 3)), 0), Orbit 0	187	142
(((0, 3), (0, 4), (2, 5)), 0), Orbit 0	44	119
(((0, 3), (0, 4), (2, 5)), 1), Orbit 1	45	119
(((0, 3), (0, 4), (2, 5)), 2), Orbit 2	46	119
(((1, 1), (1, 4), (1, 5)), 0), Orbit 0	78	106
(((1, 1), (1, 4), (1, 5)), 1), Orbit 1	79	106
(((1, 1), (1, 4), (1, 5)), 2), Orbit 2	80	106
(((0, 5), (0, 5), (4, 4)), 0), Orbit 0	10	98
(((2, 4), (2, 5), (3, 3)), 0), Orbit 0	202	94
(((2, 4), (2, 5), (3, 3)), 1), Orbit 1	203	94
(((2, 4), (2, 5), (3, 3)), 2), Orbit 2	204	94
(((2, 2), (3, 4), (3, 5)), 0), Orbit 0	205	93
(((2, 2), (3, 4), (3, 5)), 1), Orbit 1	206	93
(((2, 2), (3, 4), (3, 5)), 2), Orbit 2	207	93
(((1, 3), (1, 5), (2, 4)), 0), Orbit 0	125	90
(((1, 3), (1, 5), (2, 4)), 1), Orbit 1	126	90
(((1, 3), (1, 5), (2, 4)), 2), Orbit 2	127	90
(((1, 5), (1, 5), (4, 4)), 0), Orbit 0	83	78
(((1, 1), (1, 7), (1, 7)), 1), Orbit 1	93	76
(((2, 7), (2, 7), (3, 3)), 1), Orbit 1	230	73
(((1, 2), (1, 2), (3, 3)), 1), Orbit 1	188	71
(((0, 5), (0, 5), (4, 4)), 1), Orbit 1	11	49
(((0, 2), (0, 4), (3, 5)), 0), Orbit 0	35	47
(((0, 2), (0, 4), (3, 5)), 1), Orbit 1	36	47
(((0, 2), (0, 4), (3, 5)), 2), Orbit 2	37	47
(((0, 2), (0, 5), (3, 4)), 0), Orbit 0	38	44
(((0, 2), (0, 5), (3, 4)), 1), Orbit 1	39	44
(((0, 2), (0, 5), (3, 4)), 2), Orbit 2	40	44
(((1, 5), (1, 5), (4, 4)), 1), Orbit 1	84	39
(((1, 1), (1, 7), (1, 7)), 0), Orbit 0	92	38
(((0, 1), (0, 7), (1, 7)), 0), Orbit 0	15	37
(((0, 1), (0, 7), (1, 7)), 1), Orbit 1	16	37
(((0, 1), (0, 7), (1, 7)), 2), Orbit 2	17	37
(((1, 2), (1, 3), (2, 3)), 0), Orbit 0	189	26
(((1, 2), (1, 3), (2, 3)), 1), Orbit 1	190	26
(((1, 2), (1, 3), (2, 3)), 2), Orbit 2	191	26
(((0, 1), (0, 6), (1, 6)), 0), Orbit 0	32	16
(((0, 1), (0, 6), (1, 6)), 1), Orbit 1	33	16
(((0, 1), (0, 6), (1, 6)), 2), Orbit 2	34	16
(((0, 5), (0, 6), (4, 6)), 0), Orbit 0	50	16
(((0, 5), (0, 6), (4, 6)), 1), Orbit 1	51	16
(((0, 5), (0, 6), (4, 6)), 2), Orbit 2	52	16
(((2, 3), (2, 4), (3, 5)), 0), Orbit 0	208	14
(((2, 3), (2, 4), (3, 5)), 1), Orbit 1	209	14
(((2, 3), (2, 4), (3, 5)), 2), Orbit 2	210	14
(((2, 2), (3, 7), (3, 7)), 1), Orbit 1	235	10
(((2, 2), (3, 6), (3, 6)), 1), Orbit 1	252	10
(((0, 2), (0, 6), (3, 6)), 0), Orbit 0	72	9
(((0, 2), (0, 6), (3, 6)), 1), Orbit 1	73	9
(((0, 2), (0, 6), (3, 6)), 2), Orbit 2	74	9
(((0, 5), (0, 7), (4, 7)), 0), Orbit 0	18	8
(((0, 5), (0, 7), (4, 7)), 1), Orbit 1	19	8
(((0, 5), (0, 7), (4, 7)), 2), Orbit 2	20	8
(((1, 2), (1, 4), (3, 5)), 0), Orbit 0	116	8
(((1, 2), (1, 4), (3, 5)), 1), Orbit 1	117	8
(((1, 2), (1, 4), (3, 5)), 2), Orbit 2	118	8
(((0, 4), (0, 5), (4, 5)), 0), Orbit 0	12	6
(((0, 4), (0, 5), (4, 5)), 1), Orbit 1	13	6
(((0, 4), (0, 5), (4, 5)), 2), Orbit 2	14	6
(((1, 3), (1, 7), (2, 7)), 0), Orbit 0	166	5
(((1, 3), (1, 7), (2, 7)), 1), Orbit 1	167	5
(((1, 3), (1, 7), (2, 7)), 2), Orbit 2	168	5
(((2, 2), (3, 7), (3, 7)), 0), Orbit 0	234	5
(((2, 2), (3, 6), (3, 6)), 0), Orbit 0	251	5
(((4, 4), (4, 5), (5, 5)), 0), Orbit 0	89	4
(((4, 4), (4, 5), (5, 5)), 1), Orbit 1	90	4
(((4, 4), (4, 5), (5, 5)), 2), Orbit 2	91	4
(((2, 4), (3, 5), (4, 5)), 0), Orbit 0	137	4
(((2, 4), (3, 5), (4, 5)), 1), Orbit 1	138	4
(((2, 4), (3, 5), (4, 5)), 2), Orbit 2	139	4
(((1, 1), (1, 6), (1, 6)), 1), Orbit 1	141	4
(((1, 5), (1, 6), (4, 6)), 0), Orbit 0	145	4
(((1, 5), (1, 6), (4, 6)), 1), Orbit 1	146	4
(((1, 5), (1, 6), (4, 6)), 2), Orbit 2	147	4
(((4, 6), (4, 6), (5, 5)), 0), Orbit 0	153	4
(((2, 7), (3, 5), (4, 7)), 0), Orbit 0	178	4
(((2, 7), (3, 5), (4, 7)), 1), Orbit 1	179	4
(((2, 7), (3, 5), (4, 7)), 2), Orbit 2	180	4
(((2, 6), (3, 5), (4, 6)), 0), Orbit 0	217	3
(((2, 6), (3, 5), (4, 6)), 1), Orbit 1	218	3
(((2, 6), (3, 5), (4, 6)), 2), Orbit 2	219	3
(((2, 3), (2, 3), (2, 3)), 0), Orbit 0	244	3
(((2, 3), (2, 6), (3, 6)), 0), Orbit 0	248	3
(((2, 3), (2, 6), (3, 6)), 1), Orbit 1	249	3
(((2, 3), (2, 6), (3, 6)), 2), Orbit 2	250	3
(((0, 4), (0, 4), (5, 5)), 0), Orbit 0	8	2
(((0, 6), (0, 6), (6, 6)), 0), Orbit 0	75	2
(((1, 1), (1, 6), (1, 6)), 0), Orbit 0	140	2
(((4, 6), (4, 6), (5, 5)), 1), Orbit 1	154	2
(((1, 3), (1, 6), (2, 6)), 0), Orbit 0	197	2
(((1, 3), (1, 6), (2, 6)), 1), Orbit 1	198	2
(((1, 3), (1, 6), (2, 6)), 2), Orbit 2	199	2
(((0, 4), (0, 4), (5, 5)), 1), Orbit 1	9	1
(((0, 6), (0, 6), (6, 6)), 1), Orbit 1	76	1
(((1, 4), (1, 5), (4, 5)), 0), Orbit 0	85	1
(((1, 4), (1, 5), (4, 5)), 1), Orbit 1	86	1
(((1, 4), (1, 5), (4, 5)), 2), Orbit 2	87	1
(((1, 2), (1, 5), (3, 4)), 0), Orbit 0	119	1
(((1, 2), (1, 5), (3, 4)), 1), Orbit 1	120	1
(((1, 2), (1, 5), (3, 4)), 2), Orbit 2	121	1
(((2, 4), (3, 4), (5, 5)), 0), Orbit 0	134	1
(((2, 4), (3, 4), (5, 5)), 1), Orbit 1	135	1
(((2, 4), (3, 4), (5, 5)), 2), Orbit 2	136	1
(((2, 7), (3, 6), (6, 7)), 0), Orbit 0	236	1
(((2, 7), (3, 6), (6, 7)), 1), Orbit 1	237	1
(((2, 7), (3, 6), (6, 7)), 2), Orbit 2	238	1
(((2, 6), (3, 7), (6, 7)), 0), Orbit 0	239	1
(((2, 6), (3, 7), (6, 7)), 1), Orbit 1	240	1
(((2, 6), (3, 7), (6, 7)), 2), Orbit 2	241	1
(((2, 6), (3, 6), (6, 6)), 0), Orbit 0	255	1
(((2, 6), (3, 6), (6, 6)), 1), Orbit 1	256	1
(((2, 6), (3, 6), (6, 6)), 2), Orbit 2	257	1
(((0, 4), (0, 7), (5, 7)), 0), Orbit 0	21	0
