Graphlet,Enrichment,Z,p_value
"((2, 3), (2, 4), (3, 5))",30.803571428571427,7.594212954176011,3.096687766055012e-14
"((0, 2), (0, 6), (3, 6))",23.958333333333336,4.690423484480705,2.726401719011893e-06
"((2, 4), (2, 5), (3, 3))",4.587765957446809,2.3688549858273564,0.01784324800871226
"((2, 2), (3, 4), (3, 5))",2.318548387096774,0.8659403760784348,0.38652285976916456
"((2, 6), (2, 6), (3, 3))",0.9845890410958904,-0.015531098123889713,0.9876084747669484
"((2, 2), (2, 3), (3, 3))",0.6382585101134682,-1.10911260511534,0.2673816077684621
"((0, 1), (0, 4), (1, 5))",0.6213976945244957,-0.48028434998793806,0.6310252154925026
"((0, 2), (0, 3), (2, 3))",0.5676099411582534,-2.366329209393008,0.0179654612617378
"((0, 1), (0, 5), (1, 4))",0.4575596816976127,-1.6038290782679112,0.1087517331302168
"((1, 3), (1, 3), (2, 2))",0.2315560567010309,-3.5708295621278294,0.00035585240408998514
"((0, 1), (0, 2), (1, 3))",0.21989462054899295,-5.762840415063258,8.270999421228922e-09
"((0, 2), (0, 2), (3, 3))",0.1683255269320843,-2.8667734797676205,0.004146797042135701
"((0, 3), (0, 5), (2, 4))",0.1412288043082745,-6.85546760260514,7.107962989341282e-12
"((0, 1), (0, 1), (1, 1))",0.054111422476891546,-17.25169447116205,1.086651708318603e-66
"((0, 1), (0, 3), (1, 2))",0.018127618433773765,-17.86324249337923,2.2800087356698014e-71
"((0, 3), (0, 3), (2, 2))",0.016854519687608326,-62.90485158684339,0.0
"((1, 1), (1, 1), (1, 1))",0.010052447552447552,-13.96340311794497,2.6068299758101945e-44
