-570483484807175738 : (((0, 1), (0, 1), (1, 1)), 0), Orbit 0
8584829176945311384 : (((0, 1), (0, 1), (1, 1)), 1), Orbit 1
-7767707552774498858 : (((0, 1), (0, 4), (1, 5)), 0), Orbit 0
-1260066796672500433 : (((0, 1), (0, 4), (1, 5)), 1), Orbit 1
5247573959429497992 : (((0, 1), (0, 4), (1, 5)), 2), Orbit 2
-971996325930738512 : (((0, 1), (0, 5), (1, 4)), 0), Orbit 0
5535644430171259913 : (((0, 1), (0, 5), (1, 4)), 1), Orbit 1
642570401198563547 : (((0, 1), (0, 5), (1, 4)), 2), Orbit 2
2294294950825738441 : (((0, 1), (0, 3), (1, 2)), 0), Orbit 0
4403578323943368738 : (((0, 1), (0, 3), (1, 2)), 1), Orbit 1
-489495705029327628 : (((0, 1), (0, 3), (1, 2)), 2), Orbit 2
5885341308989688309 : (((0, 1), (0, 2), (1, 3)), 0), Orbit 0
-6053762008617864882 : (((0, 1), (0, 2), (1, 3)), 1), Orbit 1
453878747484133543 : (((0, 1), (0, 2), (1, 3)), 2), Orbit 2
-977464063009936977 : (((0, 3), (0, 5), (2, 4)), 0), Orbit 0
5530176693092061448 : (((0, 3), (0, 5), (2, 4)), 1), Orbit 1
637102664119365082 : (((0, 3), (0, 5), (2, 4)), 2), Orbit 2
-9162185517347339679 : (((0, 2), (0, 2), (3, 3)), 0), Orbit 0
-2654544761245341254 : (((0, 2), (0, 2), (3, 3)), 1), Orbit 1
8241164337113855616 : (((0, 3), (0, 3), (2, 2)), 0), Orbit 0
-8096296363478065703 : (((0, 3), (0, 3), (2, 2)), 1), Orbit 1
2174462418498732733 : (((0, 2), (0, 3), (2, 3)), 0), Orbit 0
8682103174600731158 : (((0, 2), (0, 3), (2, 3)), 1), Orbit 1
-609328237356333336 : (((0, 2), (0, 3), (2, 3)), 2), Orbit 2
7929401078899678896 : (((0, 2), (0, 6), (3, 6)), 0), Orbit 0
3036327049926982530 : (((0, 2), (0, 6), (3, 6)), 1), Orbit 1
-8902776267680570661 : (((0, 2), (0, 6), (3, 6)), 2), Orbit 2
6218752376828050587 : (((1, 1), (1, 1), (1, 1)), 0), Orbit 0
8577341317401127930 : (((1, 3), (1, 3), (2, 2)), 0), Orbit 0
3684267288428431564 : (((1, 3), (1, 3), (2, 2)), 1), Orbit 1
-2524541181329191942 : (((2, 4), (2, 5), (3, 3)), 0), Orbit 0
3983099574772806483 : (((2, 4), (2, 5), (3, 3)), 1), Orbit 1
-909974454199889883 : (((2, 4), (2, 5), (3, 3)), 2), Orbit 2
-677406214723704918 : (((2, 2), (3, 4), (3, 5)), 0), Orbit 0
5830234541378293507 : (((2, 2), (3, 4), (3, 5)), 1), Orbit 1
-3461196870578770987 : (((2, 2), (3, 4), (3, 5)), 2), Orbit 2
-3027809080627916097 : (((2, 3), (2, 4), (3, 5)), 0), Orbit 0
3479831675474082328 : (((2, 3), (2, 4), (3, 5)), 1), Orbit 1
-8459271642133470863 : (((2, 3), (2, 4), (3, 5)), 2), Orbit 2
-4584744280944282672 : (((2, 2), (2, 3), (3, 3)), 0), Orbit 0
8968925763792572578 : (((2, 2), (2, 3), (3, 3)), 1), Orbit 1
-2970177553814980613 : (((2, 2), (2, 3), (3, 3)), 2), Orbit 2
-5852603026525229094 : (((2, 6), (2, 6), (3, 3)), 0), Orbit 0
-3743319653407598797 : (((2, 6), (2, 6), (3, 3)), 1), Orbit 1
