graphlet	id	count
((0, 3), (0, 3), (2, 2))	23	69
((0, 1), (0, 1), (1, 1))	0	18
((0, 2), (0, 3), (2, 3))	24	17
((0, 1), (0, 2), (1, 3))	11	12
((0, 3), (0, 5), (2, 4))	15	9
((0, 1), (0, 3), (1, 2))	10	6
((2, 2), (2, 3), (3, 3))	92	6
((1, 3), (1, 3), (2, 2))	72	5
((0, 1), (0, 5), (1, 4))	2	4
((1, 1), (1, 1), (1, 1))	28	2
((2, 3), (2, 4), (3, 5))	78	2
((2, 4), (2, 5), (3, 3))	76	2
((0, 2), (0, 2), (3, 3))	22	2
((0, 1), (0, 4), (1, 5))	1	1
((2, 2), (3, 4), (3, 5))	77	1
((2, 6), (2, 6), (3, 3))	95	1
((0, 2), (0, 6), (3, 6))	26	1
