orbit	id	count
 (((0, 3), (0, 3), (2, 2)), 0), Orbit 0	64	476161582
 (((0, 3), (0, 3), (2, 2)), 1), Orbit 1	65	238080791
 (((0, 1), (0, 1), (1, 1)), 0), Orbit 0	0	97984684
 (((0, 1), (0, 1), (1, 1)), 1), Orbit 1	1	48992342
 (((0, 3), (0, 5), (2, 4)), 0), Orbit 0	41	8113578
 (((0, 3), (0, 5), (2, 4)), 1), Orbit 1	42	8113578
 (((0, 3), (0, 5), (2, 4)), 2), Orbit 2	43	8113578
 (((0, 1), (0, 3), (1, 2)), 0), Orbit 0	26	7553198
 (((0, 1), (0, 3), (1, 2)), 1), Orbit 1	27	7553198
 (((0, 1), (0, 3), (1, 2)), 2), Orbit 2	28	7553198
 (((0, 1), (0, 2), (1, 3)), 0), Orbit 0	29	7042715
 (((0, 1), (0, 2), (1, 3)), 1), Orbit 1	30	7042715
 (((0, 1), (0, 2), (1, 3)), 2), Orbit 2	31	7042715
 (((0, 5), (0, 5), (4, 4)), 0), Orbit 0	10	5135978
 (((1, 1), (1, 1), (1, 1)), 0), Orbit 0	77	5073102
 (((1, 3), (1, 3), (2, 2)), 0), Orbit 0	192	4542654
 (((0, 2), (0, 2), (3, 3)), 0), Orbit 0	62	4332136
 (((0, 2), (0, 3), (2, 3)), 0), Orbit 0	66	3416228
 (((0, 2), (0, 3), (2, 3)), 1), Orbit 1	67	3416228
 (((0, 2), (0, 3), (2, 3)), 2), Orbit 2	68	3416228
 (((0, 5), (0, 5), (4, 4)), 1), Orbit 1	11	2567989
 (((0, 3), (0, 6), (2, 6)), 0), Orbit 0	69	2559352
 (((0, 3), (0, 6), (2, 6)), 1), Orbit 1	70	2559352
 (((0, 3), (0, 6), (2, 6)), 2), Orbit 2	71	2559352
 (((2, 2), (2, 3), (3, 3)), 0), Orbit 0	245	2288478
 (((2, 2), (2, 3), (3, 3)), 1), Orbit 1	246	2288478
 (((2, 2), (2, 3), (3, 3)), 2), Orbit 2	247	2288478
 (((1, 3), (1, 3), (2, 2)), 1), Orbit 1	193	2271327
 (((0, 2), (0, 2), (3, 3)), 1), Orbit 1	63	2166068
 (((0, 1), (0, 5), (1, 4)), 0), Orbit 0	5	1590361
 (((0, 1), (0, 5), (1, 4)), 1), Orbit 1	6	1590361
 (((0, 1), (0, 5), (1, 4)), 2), Orbit 2	7	1590361
 (((2, 6), (2, 6), (3, 3)), 0), Orbit 0	253	1508512
 (((2, 6), (2, 6), (3, 3)), 1), Orbit 1	254	754256
 (((0, 1), (0, 4), (1, 5)), 0), Orbit 0	2	473715
 (((0, 1), (0, 4), (1, 5)), 1), Orbit 1	3	473715
 (((0, 1), (0, 4), (1, 5)), 2), Orbit 2	4	473715
 (((1, 1), (1, 2), (1, 3)), 0), Orbit 0	113	419068
 (((1, 1), (1, 2), (1, 3)), 1), Orbit 1	114	419068
 (((1, 1), (1, 2), (1, 3)), 2), Orbit 2	115	419068
 (((1, 3), (1, 5), (2, 4)), 0), Orbit 0	125	347542
 (((1, 3), (1, 5), (2, 4)), 1), Orbit 1	126	347542
 (((1, 3), (1, 5), (2, 4)), 2), Orbit 2	127	347542
 (((1, 5), (1, 5), (4, 4)), 0), Orbit 0	83	159100
 (((1, 2), (1, 2), (3, 3)), 0), Orbit 0	187	153280
 (((0, 3), (0, 7), (2, 7)), 0), Orbit 0	53	143874
 (((0, 3), (0, 7), (2, 7)), 1), Orbit 1	54	143874
 (((0, 3), (0, 7), (2, 7)), 2), Orbit 2	55	143874
 (((2, 7), (2, 7), (3, 3)), 0), Orbit 0	229	115286
 (((0, 3), (0, 4), (2, 5)), 0), Orbit 0	44	91042
 (((0, 3), (0, 4), (2, 5)), 1), Orbit 1	45	91042
 (((0, 3), (0, 4), (2, 5)), 2), Orbit 2	46	91042
 (((2, 4), (2, 5), (3, 3)), 0), Orbit 0	202	83633
 (((2, 4), (2, 5), (3, 3)), 1), Orbit 1	203	83633
 (((2, 4), (2, 5), (3, 3)), 2), Orbit 2	204	83633
 (((1, 5), (1, 5), (4, 4)), 1), Orbit 1	84	79550
 (((1, 2), (1, 2), (3, 3)), 1), Orbit 1	188	76640
 (((2, 7), (2, 7), (3, 3)), 1), Orbit 1	230	57643
 (((0, 2), (0, 4), (3, 5)), 0), Orbit 0	35	49337
 (((0, 2), (0, 4), (3, 5)), 1), Orbit 1	36	49337
 (((0, 2), (0, 4), (3, 5)), 2), Orbit 2	37	49337
 (((1, 1), (1, 4), (1, 5)), 0), Orbit 0	78	43812
 (((1, 1), (1, 4), (1, 5)), 1), Orbit 1	79	43812
 (((1, 1), (1, 4), (1, 5)), 2), Orbit 2	80	43812
 (((2, 3), (2, 4), (3, 5)), 0), Orbit 0	208	38061
 (((2, 3), (2, 4), (3, 5)), 1), Orbit 1	209	38061
 (((2, 3), (2, 4), (3, 5)), 2), Orbit 2	210	38061
 (((0, 1), (0, 6), (1, 6)), 0), Orbit 0	32	29647
