graphlet	id	count
((0, 3), (0, 3), (2, 2))	23	119205
((2, 2), (2, 3), (3, 3))	92	31893
((0, 3), (0, 6), (2, 6))	25	23281
((0, 2), (0, 3), (2, 3))	24	21930
((0, 1), (0, 1), (1, 1))	0	21548
((0, 2), (0, 2), (3, 3))	22	17623
((2, 6), (2, 6), (3, 3))	95	16443
((0, 1), (0, 2), (1, 3))	11	13518
((0, 3), (0, 5), (2, 4))	15	10169
((0, 1), (0, 3), (1, 2))	10	9311
((1, 3), (1, 3), (2, 2))	72	7252
((1, 3), (1, 5), (2, 4))	48	5430
((1, 1), (1, 2), (1, 3))	44	5129
((0, 1), (0, 4), (1, 5))	1	3578
((2, 6), (3, 6), (6, 6))	96	3154
((0, 2), (0, 6), (3, 6))	26	2821
((2, 3), (2, 6), (3, 6))	93	2547
((0, 5), (0, 5), (4, 4))	4	1997
((0, 1), (0, 5), (1, 4))	2	1994
((2, 2), (3, 6), (3, 6))	94	1897
((1, 1), (1, 1), (1, 1))	28	1753
((0, 3), (0, 7), (2, 7))	19	1568
((0, 6), (0, 6), (6, 6))	27	1393
((2, 3), (2, 4), (3, 5))	78	1370
((2, 7), (2, 7), (3, 3))	85	1222
((0, 2), (0, 4), (3, 5))	13	1201
((2, 6), (3, 5), (4, 6))	81	1102
((2, 4), (2, 5), (3, 3))	76	1073
((2, 2), (3, 4), (3, 5))	77	1017
((0, 5), (0, 6), (4, 6))	18	854
((1, 2), (1, 2), (3, 3))	70	849
((1, 2), (1, 3), (2, 3))	71	791
((0, 1), (0, 6), (1, 6))	12	780
((1, 3), (1, 6), (2, 6))	74	742
((0, 2), (0, 5), (3, 4))	14	736
((0, 3), (0, 4), (2, 5))	16	729
((6, 6), (6, 6), (6, 6))	97	636
((1, 5), (1, 5), (4, 4))	31	623
((2, 5), (3, 5), (4, 4))	50	603
((1, 5), (1, 6), (4, 6))	55	597
((2, 3), (2, 3), (2, 3))	91	552
((1, 1), (1, 4), (1, 5))	29	538
((2, 7), (3, 5), (4, 7))	67	490
((2, 4), (3, 4), (5, 5))	51	482
((1, 2), (1, 4), (3, 5))	45	372
((1, 2), (1, 5), (3, 4))	46	370
((4, 6), (4, 6), (5, 5))	58	315
((1, 1), (1, 6), (1, 6))	53	286
((2, 7), (3, 6), (6, 7))	88	262
((1, 3), (1, 7), (2, 7))	63	239
((1, 3), (1, 4), (2, 5))	47	208
((0, 6), (0, 7), (6, 7))	21	203
((0, 4), (0, 4), (5, 5))	3	169
((6, 6), (6, 7), (6, 7))	90	142
((0, 5), (0, 7), (4, 7))	7	142
((0, 2), (0, 7), (3, 7))	20	141
((2, 6), (3, 7), (6, 7))	89	134
((1, 2), (1, 6), (3, 6))	73	133
((2, 3), (2, 7), (3, 7))	86	130
((2, 4), (3, 6), (5, 6))	82	130
((0, 1), (0, 7), (1, 7))	6	109
((0, 4), (0, 6), (5, 6))	17	102
((2, 2), (3, 7), (3, 7))	87	90
((4, 6), (5, 6), (6, 6))	84	85
((2, 4), (3, 5), (4, 5))	52	80
((2, 5), (3, 6), (4, 6))	80	69
((4, 7), (4, 7), (5, 5))	40	68
((4, 4), (4, 5), (5, 5))	34	66
((2, 6), (3, 4), (5, 6))	83	59
((4, 7), (5, 6), (6, 7))	61	58
((1, 6), (1, 6), (6, 6))	75	57
((1, 5), (1, 7), (4, 7))	36	45
((1, 6), (1, 7), (6, 7))	59	43
((1, 4), (1, 4), (5, 5))	30	38
((2, 3), (2, 5), (3, 4))	79	34
((0, 4), (0, 5), (4, 5))	5	30
((4, 4), (5, 6), (5, 6))	57	29
((1, 4), (1, 6), (5, 6))	54	28
((6, 7), (6, 7), (7, 7))	62	27
((2, 5), (3, 7), (4, 7))	65	25
((1, 1), (1, 7), (1, 7))	35	20
((1, 2), (1, 7), (3, 7))	64	18
((2, 7), (3, 7), (7, 7))	69	15
((4, 5), (4, 6), (5, 6))	56	12
((1, 4), (1, 5), (4, 5))	32	10
((4, 6), (5, 7), (6, 7))	60	10
((2, 4), (3, 7), (5, 7))	68	10
((4, 7), (5, 7), (7, 7))	42	8
((1, 7), (1, 7), (7, 7))	38	8
((0, 4), (0, 7), (5, 7))	8	7
((2, 7), (3, 4), (5, 7))	66	7
((0, 7), (0, 7), (7, 7))	9	6
((4, 4), (5, 7), (5, 7))	39	5
((1, 4), (1, 7), (5, 7))	37	5
((2, 5), (3, 4), (4, 5))	49	3
((7, 7), (7, 7), (7, 7))	43	1
