-570483484807175738 : (((0, 1), (0, 1), (1, 1)), 0), Orbit 0
8584829176945311384 : (((0, 1), (0, 1), (1, 1)), 1), Orbit 1
-7767707552774498858 : (((0, 1), (0, 4), (1, 5)), 0), Orbit 0
-1260066796672500433 : (((0, 1), (0, 4), (1, 5)), 1), Orbit 1
5247573959429497992 : (((0, 1), (0, 4), (1, 5)), 2), Orbit 2
-971996325930738512 : (((0, 1), (0, 5), (1, 4)), 0), Orbit 0
5535644430171259913 : (((0, 1), (0, 5), (1, 4)), 1), Orbit 1
642570401198563547 : (((0, 1), (0, 5), (1, 4)), 2), Orbit 2
1542489596949446448 : (((0, 4), (0, 4), (5, 5)), 0), Orbit 0
8050130353051444873 : (((0, 4), (0, 4), (5, 5)), 1), Orbit 1
7440160337502282748 : (((0, 5), (0, 5), (4, 4)), 0), Orbit 0
-8897300363089638571 : (((0, 5), (0, 5), (4, 4)), 1), Orbit 1
2294294950825738441 : (((0, 1), (0, 3), (1, 2)), 0), Orbit 0
4403578323943368738 : (((0, 1), (0, 3), (1, 2)), 1), Orbit 1
-489495705029327628 : (((0, 1), (0, 3), (1, 2)), 2), Orbit 2
5885341308989688309 : (((0, 1), (0, 2), (1, 3)), 0), Orbit 0
-6053762008617864882 : (((0, 1), (0, 2), (1, 3)), 1), Orbit 1
453878747484133543 : (((0, 1), (0, 2), (1, 3)), 2), Orbit 2
-6138361009325618804 : (((0, 2), (0, 4), (3, 5)), 0), Orbit 0
7415309035411236446 : (((0, 2), (0, 4), (3, 5)), 1), Orbit 1
-8922151665180684873 : (((0, 2), (0, 4), (3, 5)), 2), Orbit 2
2427220921441785116 : (((0, 2), (0, 5), (3, 4)), 0), Orbit 0
8934861677543783541 : (((0, 2), (0, 5), (3, 4)), 1), Orbit 1
4041787648571087175 : (((0, 2), (0, 5), (3, 4)), 2), Orbit 2
-977464063009936977 : (((0, 3), (0, 5), (2, 4)), 0), Orbit 0
5530176693092061448 : (((0, 3), (0, 5), (2, 4)), 1), Orbit 1
637102664119365082 : (((0, 3), (0, 5), (2, 4)), 2), Orbit 2
2332399896509195867 : (((0, 3), (0, 4), (2, 5)), 0), Orbit 0
-2560674132463500499 : (((0, 3), (0, 4), (2, 5)), 1), Orbit 1
3946966623638497926 : (((0, 3), (0, 4), (2, 5)), 2), Orbit 2
-9162185517347339679 : (((0, 2), (0, 2), (3, 3)), 0), Orbit 0
-2654544761245341254 : (((0, 2), (0, 2), (3, 3)), 1), Orbit 1
8241164337113855616 : (((0, 3), (0, 3), (2, 2)), 0), Orbit 0
-8096296363478065703 : (((0, 3), (0, 3), (2, 2)), 1), Orbit 1
2174462418498732733 : (((0, 2), (0, 3), (2, 3)), 0), Orbit 0
8682103174600731158 : (((0, 2), (0, 3), (2, 3)), 1), Orbit 1
-609328237356333336 : (((0, 2), (0, 3), (2, 3)), 2), Orbit 2
6218752376828050587 : (((1, 1), (1, 1), (1, 1)), 0), Orbit 0
8053052423423427966 : (((1, 1), (1, 4), (1, 5)), 0), Orbit 0
-1238378988533636528 : (((1, 1), (1, 4), (1, 5)), 1), Orbit 1
5269261767568361897 : (((1, 1), (1, 4), (1, 5)), 2), Orbit 2
4907473405061138848 : (((1, 4), (1, 4), (5, 5)), 0), Orbit 0
-7031629912546414343 : (((1, 4), (1, 4), (5, 5)), 1), Orbit 1
4966298199092827943 : (((1, 5), (1, 5), (4, 4)), 0), Orbit 0
7075581572210458240 : (((1, 5), (1, 5), (4, 4)), 1), Orbit 1
2378002535388204216 : (((1, 1), (1, 2), (1, 3)), 0), Orbit 0
-2515071493584492150 : (((1, 1), (1, 2), (1, 3)), 1), Orbit 1
3992569262517506275 : (((1, 1), (1, 2), (1, 3)), 2), Orbit 2
-755698462565858964 : (((1, 2), (1, 4), (3, 5)), 0), Orbit 0
5751942293536139461 : (((1, 2), (1, 4), (3, 5)), 1), Orbit 1
-3539489118420925033 : (((1, 2), (1, 4), (3, 5)), 2), Orbit 2
163721112953436391 : (((1, 3), (1, 5), (2, 4)), 0), Orbit 0
-4729352916019259975 : (((1, 3), (1, 5), (2, 4)), 1), Orbit 1
-2620069542901629678 : (((1, 3), (1, 5), (2, 4)), 2), Orbit 2
302566175365152312 : (((1, 2), (1, 2), (3, 3)), 0), Orbit 0
-8988865236591912182 : (((1, 2), (1, 2), (3, 3)), 1), Orbit 1
-322367766158111142 : (((1, 2), (1, 3), (2, 3)), 0), Orbit 0
6185272989943887283 : (((1, 2), (1, 3), (2, 3)), 1), Orbit 1
-3106158422013177211 : (((1, 2), (1, 3), (2, 3)), 2), Orbit 2
8577341317401127930 : (((1, 3), (1, 3), (2, 2)), 0), Orbit 0
3684267288428431564 : (((1, 3), (1, 3), (2, 2)), 1), Orbit 1
-2524541181329191942 : (((2, 4), (2, 5), (3, 3)), 0), Orbit 0
3983099574772806483 : (((2, 4), (2, 5), (3, 3)), 1), Orbit 1
-909974454199889883 : (((2, 4), (2, 5), (3, 3)), 2), Orbit 2
-677406214723704918 : (((2, 2), (3, 4), (3, 5)), 0), Orbit 0
5830234541378293507 : (((2, 2), (3, 4), (3, 5)), 1), Orbit 1
-3461196870578770987 : (((2, 2), (3, 4), (3, 5)), 2), Orbit 2
-3027809080627916097 : (((2, 3), (2, 4), (3, 5)), 0), Orbit 0
3479831675474082328 : (((2, 3), (2, 4), (3, 5)), 1), Orbit 1
-8459271642133470863 : (((2, 3), (2, 4), (3, 5)), 2), Orbit 2
-4584744280944282672 : (((2, 2), (2, 3), (3, 3)), 0), Orbit 0
8968925763792572578 : (((2, 2), (2, 3), (3, 3)), 1), Orbit 1
-2970177553814980613 : (((2, 2), (2, 3), (3, 3)), 2), Orbit 2
