graphlet	id	count
((0, 3), (0, 3), (2, 2))	23	65686461
((0, 1), (0, 1), (1, 1))	0	892182
((1, 1), (1, 1), (1, 1))	28	319434
((0, 1), (0, 3), (1, 2))	10	201181
((0, 1), (0, 2), (1, 3))	11	80357
((0, 3), (0, 5), (2, 4))	15	54177
((0, 2), (0, 3), (2, 3))	24	18337
((1, 3), (1, 3), (2, 2))	72	14943
((2, 2), (2, 3), (3, 3))	92	9486
((0, 2), (0, 2), (3, 3))	22	8691
((1, 2), (1, 2), (3, 3))	70	1150
((0, 1), (0, 4), (1, 5))	1	737
((0, 1), (0, 5), (1, 4))	2	459
((1, 1), (1, 2), (1, 3))	44	409
((1, 1), (1, 4), (1, 5))	29	96
((1, 3), (1, 5), (2, 4))	48	74
((0, 2), (0, 4), (3, 5))	13	30
((0, 2), (0, 5), (3, 4))	14	28
((0, 5), (0, 5), (4, 4))	4	24
((2, 2), (3, 4), (3, 5))	77	21
((2, 4), (2, 5), (3, 3))	76	17
((1, 5), (1, 5), (4, 4))	31	9
((1, 2), (1, 4), (3, 5))	45	5
((2, 3), (2, 4), (3, 5))	78	5
((0, 3), (0, 4), (2, 5))	16	4
((1, 2), (1, 3), (2, 3))	71	3
((0, 4), (0, 4), (5, 5))	3	2
((1, 4), (1, 4), (5, 5))	30	1
