-8341338367397195154 : ((0, 1), (0, 1), (1, 1))
-5003886953307608673 : ((0, 1), (0, 3), (1, 2))
-17258432920835660 : ((0, 1), (0, 2), (1, 3))
-6294202280454295283 : ((0, 2), (0, 2), (3, 3))
-4279130819452769707 : ((0, 3), (0, 3), (2, 2))
-2918869872074322606 : ((0, 2), (0, 3), (2, 3))
-1843294385986578044 : ((1, 1), (1, 1), (1, 1))
8045715870436983625 : ((1, 1), (1, 2), (1, 3))
-5194309233978647355 : ((1, 2), (1, 2), (3, 3))
-2267815650128424632 : ((1, 2), (1, 3), (2, 3))
-4173501096111580938 : ((1, 3), (1, 3), (2, 2))
6200193899115390199 : ((2, 2), (2, 3), (3, 3))
