-570483484807175738 : (((0, 1), (0, 1), (1, 1)), 0), Orbit 0
8584829176945311384 : (((0, 1), (0, 1), (1, 1)), 1), Orbit 1
2294294950825738441 : (((0, 1), (0, 3), (1, 2)), 0), Orbit 0
4403578323943368738 : (((0, 1), (0, 3), (1, 2)), 1), Orbit 1
-489495705029327628 : (((0, 1), (0, 3), (1, 2)), 2), Orbit 2
5885341308989688309 : (((0, 1), (0, 2), (1, 3)), 0), Orbit 0
-6053762008617864882 : (((0, 1), (0, 2), (1, 3)), 1), Orbit 1
453878747484133543 : (((0, 1), (0, 2), (1, 3)), 2), Orbit 2
-9162185517347339679 : (((0, 2), (0, 2), (3, 3)), 0), Orbit 0
-2654544761245341254 : (((0, 2), (0, 2), (3, 3)), 1), Orbit 1
8241164337113855616 : (((0, 3), (0, 3), (2, 2)), 0), Orbit 0
-8096296363478065703 : (((0, 3), (0, 3), (2, 2)), 1), Orbit 1
2174462418498732733 : (((0, 2), (0, 3), (2, 3)), 0), Orbit 0
8682103174600731158 : (((0, 2), (0, 3), (2, 3)), 1), Orbit 1
-609328237356333336 : (((0, 2), (0, 3), (2, 3)), 2), Orbit 2
6218752376828050587 : (((1, 1), (1, 1), (1, 1)), 0), Orbit 0
2378002535388204216 : (((1, 1), (1, 2), (1, 3)), 0), Orbit 0
-2515071493584492150 : (((1, 1), (1, 2), (1, 3)), 1), Orbit 1
3992569262517506275 : (((1, 1), (1, 2), (1, 3)), 2), Orbit 2
302566175365152312 : (((1, 2), (1, 2), (3, 3)), 0), Orbit 0
-8988865236591912182 : (((1, 2), (1, 2), (3, 3)), 1), Orbit 1
-322367766158111142 : (((1, 2), (1, 3), (2, 3)), 0), Orbit 0
6185272989943887283 : (((1, 2), (1, 3), (2, 3)), 1), Orbit 1
-3106158422013177211 : (((1, 2), (1, 3), (2, 3)), 2), Orbit 2
8577341317401127930 : (((1, 3), (1, 3), (2, 2)), 0), Orbit 0
3684267288428431564 : (((1, 3), (1, 3), (2, 2)), 1), Orbit 1
-4584744280944282672 : (((2, 2), (2, 3), (3, 3)), 0), Orbit 0
8968925763792572578 : (((2, 2), (2, 3), (3, 3)), 1), Orbit 1
-2970177553814980613 : (((2, 2), (2, 3), (3, 3)), 2), Orbit 2
