graphlet	id	count
((0, 3), (0, 3), (2, 2))	22	41552292
((0, 1), (0, 1), (1, 1))	0	1735169
((2, 2), (2, 3), (3, 3))	91	725316
((0, 2), (0, 2), (3, 3))	21	669957
((0, 1), (0, 3), (1, 2))	10	635254
((0, 2), (0, 3), (2, 3))	23	573377
((0, 1), (0, 2), (1, 3))	11	438452
((0, 3), (0, 5), (2, 4))	14	379777
((0, 3), (0, 6), (2, 6))	24	365813
((2, 6), (2, 6), (3, 3))	94	249990
((1, 3), (1, 3), (2, 2))	71	143999
((0, 1), (0, 5), (1, 4))	2	19072
((0, 3), (0, 7), (2, 7))	18	16555
((1, 1), (1, 1), (1, 1))	27	15814
((0, 1), (0, 4), (1, 5))	1	14141
((2, 4), (2, 5), (3, 3))	75	13148
((2, 7), (2, 7), (3, 3))	84	12629
((1, 3), (1, 5), (2, 4))	47	11203
((1, 2), (1, 2), (3, 3))	69	9605
((0, 3), (0, 4), (2, 5))	15	8598
((1, 1), (1, 2), (1, 3))	43	7374
((0, 2), (0, 6), (3, 6))	25	7305
((2, 2), (3, 6), (3, 6))	93	5665
((0, 1), (0, 6), (1, 6))	12	5366
((0, 5), (0, 5), (4, 4))	4	4754
((2, 2), (3, 4), (3, 5))	76	4502
((0, 2), (0, 4), (3, 5))	13	3997
((0, 2), (0, 5), (3, 4))	97	3485
((2, 6), (3, 6), (6, 6))	95	3178
((2, 6), (3, 5), (4, 6))	80	2446
((2, 3), (2, 4), (3, 5))	77	2123
((0, 5), (0, 6), (4, 6))	17	1998
((2, 3), (2, 6), (3, 6))	92	1795
((1, 3), (1, 6), (2, 6))	73	1472
((1, 2), (1, 3), (2, 3))	70	1166
((0, 6), (0, 6), (6, 6))	26	1026
((6, 6), (6, 6), (6, 6))	96	850
((1, 1), (1, 4), (1, 5))	28	751
((0, 1), (0, 7), (1, 7))	6	623
((2, 7), (3, 5), (4, 7))	66	349
((1, 3), (1, 7), (2, 7))	62	332
((2, 3), (2, 3), (2, 3))	90	277
((0, 2), (0, 7), (3, 7))	19	262
((1, 5), (1, 5), (4, 4))	30	236
((0, 5), (0, 7), (4, 7))	7	176
((2, 2), (3, 7), (3, 7))	86	161
((2, 5), (3, 5), (4, 4))	49	155
((2, 4), (3, 6), (5, 6))	81	144
((2, 7), (3, 6), (6, 7))	87	137
((2, 4), (3, 5), (4, 5))	51	133
((0, 4), (0, 6), (5, 6))	16	115
((4, 6), (4, 6), (5, 5))	57	114
((1, 2), (1, 6), (3, 6))	72	108
((2, 6), (3, 7), (6, 7))	88	107
((2, 4), (3, 4), (5, 5))	50	100
((1, 1), (1, 6), (1, 6))	52	100
((1, 5), (1, 6), (4, 6))	54	99
((2, 3), (2, 7), (3, 7))	85	82
((6, 6), (6, 7), (6, 7))	89	76
((1, 2), (1, 4), (3, 5))	44	75
((1, 2), (1, 5), (3, 4))	45	72
((2, 5), (3, 6), (4, 6))	79	64
((0, 6), (0, 7), (6, 7))	20	63
((4, 6), (5, 6), (6, 6))	83	51
((0, 4), (0, 5), (4, 5))	5	39
((1, 3), (1, 4), (2, 5))	46	31
((0, 4), (0, 4), (5, 5))	3	29
((1, 6), (1, 6), (6, 6))	74	24
((2, 6), (3, 4), (5, 6))	82	21
((4, 4), (4, 5), (5, 5))	33	18
((1, 1), (1, 7), (1, 7))	34	18
((2, 3), (2, 5), (3, 4))	78	17
((1, 5), (1, 7), (4, 7))	35	14
((1, 4), (1, 5), (4, 5))	31	12
((4, 6), (5, 7), (6, 7))	59	9
((2, 5), (3, 7), (4, 7))	64	9
((2, 7), (3, 7), (7, 7))	68	9
((4, 7), (4, 7), (5, 5))	98	8
((6, 7), (6, 7), (7, 7))	61	6
((2, 4), (3, 7), (5, 7))	67	6
((1, 4), (1, 4), (5, 5))	29	5
((1, 4), (1, 6), (5, 6))	53	5
((2, 7), (3, 4), (5, 7))	65	5
((4, 7), (5, 6), (6, 7))	60	4
((4, 5), (4, 6), (5, 6))	55	3
((4, 7), (5, 7), (7, 7))	41	2
((4, 4), (5, 6), (5, 6))	56	2
((4, 5), (4, 5), (4, 5))	32	1
((1, 4), (1, 7), (5, 7))	36	1
((1, 6), (1, 7), (6, 7))	58	1
((1, 2), (1, 7), (3, 7))	63	1
