orbit	id	count
 (((0, 3), (0, 3), (2, 2)), 0), Orbit 0	64	83104584
 (((0, 3), (0, 3), (2, 2)), 1), Orbit 1	65	41552292
 (((0, 1), (0, 1), (1, 1)), 0), Orbit 0	0	3470338
 (((0, 1), (0, 1), (1, 1)), 1), Orbit 1	1	1735169
 (((0, 2), (0, 2), (3, 3)), 0), Orbit 0	62	1339914
 (((2, 2), (2, 3), (3, 3)), 0), Orbit 0	245	725316
 (((2, 2), (2, 3), (3, 3)), 1), Orbit 1	246	725316
 (((2, 2), (2, 3), (3, 3)), 2), Orbit 2	247	725316
 (((0, 2), (0, 2), (3, 3)), 1), Orbit 1	63	669957
 (((0, 1), (0, 3), (1, 2)), 0), Orbit 0	26	635254
 (((0, 1), (0, 3), (1, 2)), 1), Orbit 1	27	635254
 (((0, 1), (0, 3), (1, 2)), 2), Orbit 2	28	635254
 (((0, 2), (0, 3), (2, 3)), 0), Orbit 0	66	573377
 (((0, 2), (0, 3), (2, 3)), 1), Orbit 1	67	573377
 (((0, 2), (0, 3), (2, 3)), 2), Orbit 2	68	573377
 (((2, 6), (2, 6), (3, 3)), 0), Orbit 0	253	499980
 (((0, 1), (0, 2), (1, 3)), 0), Orbit 0	29	438452
 (((0, 1), (0, 2), (1, 3)), 1), Orbit 1	30	438452
 (((0, 1), (0, 2), (1, 3)), 2), Orbit 2	31	438452
 (((0, 3), (0, 5), (2, 4)), 0), Orbit 0	41	379777
 (((0, 3), (0, 5), (2, 4)), 1), Orbit 1	42	379777
 (((0, 3), (0, 5), (2, 4)), 2), Orbit 2	43	379777
 (((0, 3), (0, 6), (2, 6)), 0), Orbit 0	69	365813
 (((0, 3), (0, 6), (2, 6)), 1), Orbit 1	70	365813
 (((0, 3), (0, 6), (2, 6)), 2), Orbit 2	71	365813
 (((1, 3), (1, 3), (2, 2)), 0), Orbit 0	192	287998
 (((2, 6), (2, 6), (3, 3)), 1), Orbit 1	254	249990
 (((1, 3), (1, 3), (2, 2)), 1), Orbit 1	193	143999
 (((1, 1), (1, 1), (1, 1)), 0), Orbit 0	77	47442
 (((2, 7), (2, 7), (3, 3)), 0), Orbit 0	229	25258
 (((1, 2), (1, 2), (3, 3)), 0), Orbit 0	187	19210
 (((0, 1), (0, 5), (1, 4)), 0), Orbit 0	5	19072
 (((0, 1), (0, 5), (1, 4)), 1), Orbit 1	6	19072
 (((0, 1), (0, 5), (1, 4)), 2), Orbit 2	7	19072
 (((0, 3), (0, 7), (2, 7)), 0), Orbit 0	53	16555
 (((0, 3), (0, 7), (2, 7)), 1), Orbit 1	54	16555
 (((0, 3), (0, 7), (2, 7)), 2), Orbit 2	55	16555
 (((0, 1), (0, 4), (1, 5)), 0), Orbit 0	2	14141
 (((0, 1), (0, 4), (1, 5)), 1), Orbit 1	3	14141
 (((0, 1), (0, 4), (1, 5)), 2), Orbit 2	4	14141
 (((2, 4), (2, 5), (3, 3)), 0), Orbit 0	202	13148
 (((2, 4), (2, 5), (3, 3)), 1), Orbit 1	203	13148
 (((2, 4), (2, 5), (3, 3)), 2), Orbit 2	204	13148
 (((2, 7), (2, 7), (3, 3)), 1), Orbit 1	230	12629
 (((2, 2), (3, 6), (3, 6)), 1), Orbit 1	252	11330
 (((1, 3), (1, 5), (2, 4)), 0), Orbit 0	125	11203
 (((1, 3), (1, 5), (2, 4)), 1), Orbit 1	126	11203
 (((1, 3), (1, 5), (2, 4)), 2), Orbit 2	127	11203
 (((1, 2), (1, 2), (3, 3)), 1), Orbit 1	188	9605
 (((0, 5), (0, 5), (4, 4)), 0), Orbit 0	10	9508
 (((0, 3), (0, 4), (2, 5)), 0), Orbit 0	44	8598
 (((0, 3), (0, 4), (2, 5)), 1), Orbit 1	45	8598
