Graphlet,Enrichment,Z,p_value
"((6, 7), (6, 7), (7, 7))",31.640796703296704,13.342953526875434,1.3019711913009975e-40
"((4, 7), (5, 7), (7, 7))",31.6407967032967,7.703557810526199,1.3232919850776172e-14
"((4, 5), (4, 5), (4, 5))",31.6407967032967,5.447237967085668,5.115799984943704e-08
"((1, 6), (1, 7), (6, 7))",31.6407967032967,5.447237967085668,5.115799984943704e-08
"((1, 2), (1, 7), (3, 7))",31.6407967032967,5.447237967085668,5.115799984943704e-08
"((6, 6), (6, 7), (6, 7))",29.559165341237705,44.26175212869298,0.0
"((4, 6), (5, 7), (6, 7))",28.125152625152623,14.46670881375882,1.9665949956367025e-47
"((2, 4), (3, 7), (5, 7))",26.367330586080588,11.046550662128894,2.278002092889653e-28
"((6, 6), (6, 6), (6, 6))",25.796555429864252,128.52189293908017,0.0
"((2, 7), (3, 4), (5, 7))",25.31263736263736,9.664811083738984,4.254040686339954e-22
"((4, 7), (5, 6), (6, 7))",23.730597527472526,8.081968302924057,6.372967193384086e-16
"((4, 6), (5, 6), (6, 6))",23.575495582848525,28.661484177431426,1.1530607418420669e-180
"((2, 2), (3, 7), (3, 7))",22.797095761381474,49.16860254033134,0.0
"((2, 6), (3, 7), (6, 7))",22.76954529115744,40.032945150997236,0.0
"((2, 6), (3, 4), (5, 6))",22.600569073783358,17.59750653384653,2.5741031565336704e-69
"((4, 5), (4, 6), (5, 6))",21.093864468864467,6.187288843913595,6.120775219468871e-10
"((2, 7), (3, 7), (7, 7))",21.093864468864467,10.716698638762448,8.498271867149704e-27
"((2, 7), (3, 6), (6, 7))",20.785924841581775,41.17114388487253,0.0
"((0, 6), (0, 7), (6, 7))",20.59162960055817,27.645034164003985,3.2020683719952623e-168
"((2, 3), (2, 5), (3, 4))",20.473456690368455,14.273937951000848,3.180969366580739e-46
"((2, 6), (3, 6), (6, 6))",18.070499061196827,171.0800857634948,0.0
"((2, 4), (3, 6), (5, 6))",18.0176759004884,36.304276748806146,1.3850932423067588e-288
"((2, 3), (2, 7), (3, 7))",16.977988474939693,25.72203498504549,6.627558963646149e-146
"((0, 2), (0, 7), (3, 7))",16.42423034980287,44.38440915980599,0.0
"((4, 4), (5, 6), (5, 6))",15.82039835164835,3.7260713741384706,0.00019448735391081428
"((0, 6), (0, 6), (6, 6))",15.080262756249596,80.17901831841537,0.0
"((2, 2), (3, 6), (3, 6))",15.0133206599226,187.50692503900697,0.0
"((2, 3), (2, 6), (3, 6))",14.947852704398665,105.05479355873996,0.0
"((2, 3), (2, 3), (2, 3))",14.735244674098464,40.63989521827074,0.0
"((2, 5), (3, 7), (4, 7))",14.062576312576311,6.966688463766077,3.2448811989332344e-12
"((1, 4), (1, 6), (5, 6))",12.65631868131868,4.633644483174325,3.592837976069849e-06
"((1, 6), (1, 6), (6, 6))",10.546932234432234,8.314684135778547,9.199696133394064e-17
"((0, 2), (0, 6), (3, 6))",10.447310287248683,143.54715334706853,0.0
"((1, 2), (1, 6), (3, 6))",10.253961894586894,17.09684126150016,1.5666867908030183e-65
"((2, 5), (3, 6), (4, 6))",9.887748969780219,12.640319792965284,1.2653824503689992e-36
"((4, 6), (4, 6), (5, 5))",9.714279689608636,16.540941102224892,1.860922504598928e-61
"((0, 4), (0, 6), (5, 6))",9.629807692307692,16.452289123660044,8.075744626703317e-61
"((2, 4), (3, 4), (5, 5))",9.175831043956043,14.534771307145329,7.295677665368875e-48
"((4, 7), (4, 7), (5, 5))",7.910199175824175,3.474656311889212,0.0005115082514915311
"((0, 4), (0, 4), (5, 5))",5.455309776430465,4.265335522356524,1.996020135857443e-05
"((1, 5), (1, 7), (4, 7))",4.520113814756671,2.3415153990939137,0.019205633656004133
"((1, 2), (1, 5), (3, 4))",4.394555097680097,5.120653687150665,3.0447835524830707e-07
"((2, 7), (3, 5), (4, 7))",2.9011618753739095,6.314051283622655,2.7182379503614707e-10
"((2, 6), (3, 5), (4, 6))",2.897603622869363,16.684378053280515,1.7027003110475284e-62
"((2, 3), (2, 4), (3, 5))",2.5932636016832906,13.0508538621244,6.283914348440521e-39
"((0, 5), (0, 6), (4, 6))",2.5813062375562374,12.565796461583291,3.255797334804188e-36
"((1, 5), (1, 6), (4, 6))",2.556832056832057,2.75382068482744,0.005890403137464911
"((2, 5), (3, 5), (4, 4))",2.245475895072669,2.7566236039852674,0.005840153517605739
"((0, 2), (0, 4), (3, 5))",2.0186147508983385,11.448624993001744,2.3890494302782263e-30
"((2, 2), (3, 4), (3, 5))",1.6937876511538217,8.275716518504176,1.2768544776824603e-16
"((0, 1), (0, 7), (1, 7))",1.6759972571569681,2.9996131716383205,0.002703226782759841
"((1, 3), (1, 6), (2, 6))",1.6551231971153844,4.4684116700313234,7.880253998034293e-06
"((1, 3), (1, 7), (2, 7))",1.6201612769760358,2.0088614372014613,0.044551830553112626
"((0, 2), (0, 5), (3, 4))",1.47989953016854,5.036490403661611,4.7414486935614545e-07
"((0, 1), (0, 6), (1, 6))",1.3856852823844064,5.022670585460711,5.095790260071255e-07
"((1, 2), (1, 3), (2, 3))",1.3568094641207848,2.16601737102444,0.03030985954759519
