graphlet	id	count
((0, 3), (0, 3), (2, 2))	23	21276
((2, 2), (2, 3), (3, 3))	92	13147
((0, 2), (0, 2), (3, 3))	22	8683
((0, 2), (0, 3), (2, 3))	24	7313
((0, 3), (0, 6), (2, 6))	25	5285
((2, 6), (2, 6), (3, 3))	95	5208
((0, 1), (0, 2), (1, 3))	11	3773
((2, 2), (3, 6), (3, 6))	94	2688
((0, 2), (0, 6), (3, 6))	26	2412
((2, 6), (3, 6), (6, 6))	96	1815
((1, 3), (1, 3), (2, 2))	72	1385
((0, 1), (0, 1), (1, 1))	0	1378
((2, 3), (2, 6), (3, 6))	93	848
((0, 1), (0, 3), (1, 2))	10	759
((0, 3), (0, 5), (2, 4))	15	699
((6, 6), (6, 6), (6, 6))	97	693
((0, 6), (0, 6), (6, 6))	27	489
((0, 3), (0, 7), (2, 7))	19	344
((2, 7), (2, 7), (3, 3))	85	312
((0, 1), (0, 4), (1, 5))	1	255
((0, 2), (0, 4), (3, 5))	13	255
((2, 2), (3, 4), (3, 5))	77	241
((0, 1), (0, 6), (1, 6))	12	235
((2, 6), (3, 5), (4, 6))	81	224
((2, 4), (2, 5), (3, 3))	76	223
((1, 3), (1, 5), (2, 4))	48	181
((2, 3), (2, 4), (3, 5))	78	174
((0, 2), (0, 5), (3, 4))	14	163
((0, 5), (0, 6), (4, 6))	18	163
((1, 1), (1, 1), (1, 1))	28	157
((0, 2), (0, 7), (3, 7))	20	136
((2, 3), (2, 3), (2, 3))	91	129
((2, 2), (3, 7), (3, 7))	87	116
((0, 3), (0, 4), (2, 5))	16	115
((2, 7), (3, 6), (6, 7))	88	90
((1, 2), (1, 2), (3, 3))	70	82
((2, 4), (3, 6), (5, 6))	82	82
((1, 3), (1, 6), (2, 6))	74	77
((2, 6), (3, 7), (6, 7))	89	77
((6, 6), (6, 7), (6, 7))	90	71
((1, 1), (1, 2), (1, 3))	44	69
((1, 2), (1, 3), (2, 3))	71	50
((2, 3), (2, 7), (3, 7))	86	44
((0, 1), (0, 5), (1, 4))	2	41
((0, 6), (0, 7), (6, 7))	21	41
((4, 6), (5, 6), (6, 6))	84	38
((4, 6), (4, 6), (5, 5))	58	35
((0, 4), (0, 6), (5, 6))	17	35
((1, 2), (1, 6), (3, 6))	73	35
((0, 1), (0, 7), (1, 7))	6	33
((2, 7), (3, 5), (4, 7))	67	32
((2, 4), (3, 4), (5, 5))	51	29
((0, 5), (0, 5), (4, 4))	4	20
((2, 5), (3, 6), (4, 6))	80	20
((1, 1), (1, 4), (1, 5))	29	18
((1, 3), (1, 7), (2, 7))	63	17
((2, 6), (3, 4), (5, 6))	83	15
((2, 5), (3, 5), (4, 4))	50	11
((2, 3), (2, 5), (3, 4))	79	11
((1, 2), (1, 5), (3, 4))	46	10
((1, 5), (1, 5), (4, 4))	31	9
((0, 5), (0, 7), (4, 7))	7	9
((1, 5), (1, 6), (4, 6))	55	8
((1, 6), (1, 6), (6, 6))	75	8
((4, 6), (5, 7), (6, 7))	60	8
((2, 4), (3, 5), (4, 5))	52	6
((2, 7), (3, 7), (7, 7))	69	6
((6, 7), (6, 7), (7, 7))	62	6
((2, 4), (3, 7), (5, 7))	68	5
((0, 4), (0, 4), (5, 5))	3	5
((2, 7), (3, 4), (5, 7))	66	4
((2, 5), (3, 7), (4, 7))	65	4
((4, 7), (5, 6), (6, 7))	61	3
((1, 2), (1, 4), (3, 5))	45	3
((1, 5), (1, 7), (4, 7))	36	2
((0, 4), (0, 5), (4, 5))	5	2
((4, 4), (4, 5), (5, 5))	34	2
((1, 1), (1, 6), (1, 6))	53	2
((4, 5), (4, 6), (5, 6))	56	2
((4, 7), (4, 7), (5, 5))	40	2
((4, 7), (5, 7), (7, 7))	42	2
((1, 3), (1, 4), (2, 5))	47	2
((1, 4), (1, 6), (5, 6))	54	2
((1, 1), (1, 7), (1, 7))	35	1
((1, 6), (1, 7), (6, 7))	59	1
((1, 2), (1, 7), (3, 7))	64	1
((4, 5), (4, 5), (4, 5))	33	1
((4, 4), (5, 6), (5, 6))	57	1
