graphlet	id	count
((0, 1), (0, 1), (1, 1))	0	48078145
((1, 1), (1, 1), (1, 1))	27	1237946
((0, 1), (0, 2), (1, 3))	11	952944
((0, 1), (0, 3), (1, 2))	10	899499
((0, 1), (0, 5), (1, 4))	2	244571
((0, 1), (0, 4), (1, 5))	1	208119
((0, 1), (0, 6), (1, 6))	12	205797
((0, 2), (0, 2), (3, 3))	21	204075
((0, 1), (0, 7), (1, 7))	6	125427
((0, 2), (0, 3), (2, 3))	23	119272
((0, 3), (0, 3), (2, 2))	22	58895
((0, 2), (0, 6), (3, 6))	25	46833
((0, 2), (0, 4), (3, 5))	13	41344
((1, 1), (1, 2), (1, 3))	43	32535
((0, 3), (0, 6), (2, 6))	24	24205
((0, 2), (0, 7), (3, 7))	19	23405
((0, 2), (0, 5), (3, 4))	97	21569
((1, 1), (1, 4), (1, 5))	28	20213
((0, 3), (0, 5), (2, 4))	14	18236
((0, 3), (0, 4), (2, 5))	15	17737
((0, 3), (0, 7), (2, 7))	18	12567
((1, 1), (1, 7), (1, 7))	34	6529
((0, 4), (0, 6), (5, 6))	16	6436
((0, 6), (0, 7), (6, 7))	20	4435
((1, 1), (1, 6), (1, 6))	52	4392
((0, 6), (0, 6), (6, 6))	26	4305
((0, 5), (0, 6), (4, 6))	17	4303
((0, 4), (0, 5), (4, 5))	5	3899
((2, 2), (2, 3), (3, 3))	91	3771
((1, 2), (1, 2), (3, 3))	69	3751
((0, 4), (0, 7), (5, 7))	8	3711
((0, 4), (0, 4), (5, 5))	3	3199
((0, 5), (0, 7), (4, 7))	7	2535
((1, 2), (1, 3), (2, 3))	70	2045
((0, 5), (0, 5), (4, 4))	4	1983
((1, 2), (1, 4), (3, 5))	44	1604
((1, 3), (1, 3), (2, 2))	71	1305
((2, 4), (2, 5), (3, 3))	75	1178
((0, 7), (0, 7), (7, 7))	9	1087
((1, 2), (1, 6), (3, 6))	72	1029
((2, 2), (3, 6), (3, 6))	93	927
((2, 2), (3, 4), (3, 5))	76	895
((2, 7), (2, 7), (3, 3))	84	818
((2, 2), (3, 7), (3, 7))	86	760
((1, 2), (1, 7), (3, 7))	63	691
((2, 6), (2, 6), (3, 3))	94	684
((1, 3), (1, 5), (2, 4))	47	635
((1, 2), (1, 5), (3, 4))	45	629
((1, 3), (1, 4), (2, 5))	46	625
((1, 4), (1, 4), (5, 5))	29	600
((1, 3), (1, 6), (2, 6))	73	581
((1, 4), (1, 7), (5, 7))	36	549
((2, 3), (2, 4), (3, 5))	77	520
((2, 3), (2, 6), (3, 6))	92	479
((1, 3), (1, 7), (2, 7))	62	456
((1, 4), (1, 5), (4, 5))	31	421
((2, 6), (3, 6), (6, 6))	95	381
((1, 4), (1, 6), (5, 6))	53	360
((1, 5), (1, 7), (4, 7))	35	345
((2, 3), (2, 7), (3, 7))	85	335
((2, 4), (3, 6), (5, 6))	81	311
((2, 7), (3, 6), (6, 7))	87	310
((2, 3), (2, 3), (2, 3))	90	294
((2, 6), (3, 7), (6, 7))	88	289
((1, 5), (1, 5), (4, 4))	30	252
((2, 4), (3, 7), (5, 7))	67	244
((2, 4), (3, 5), (4, 5))	51	239
((4, 4), (4, 5), (5, 5))	33	231
((2, 7), (3, 5), (4, 7))	66	231
((4, 7), (5, 7), (7, 7))	41	207
((2, 5), (3, 5), (4, 4))	49	204
((2, 7), (3, 7), (7, 7))	68	190
((2, 6), (3, 5), (4, 6))	80	190
((2, 3), (2, 5), (3, 4))	78	187
((1, 6), (1, 7), (6, 7))	58	185
((2, 4), (3, 4), (5, 5))	50	177
((4, 4), (5, 7), (5, 7))	38	162
((1, 5), (1, 6), (4, 6))	54	160
((1, 7), (1, 7), (7, 7))	37	147
((2, 5), (3, 6), (4, 6))	79	143
((2, 6), (3, 4), (5, 6))	82	137
((6, 6), (6, 7), (6, 7))	89	136
((1, 6), (1, 6), (6, 6))	74	129
((4, 6), (5, 6), (6, 6))	83	120
((4, 5), (4, 7), (5, 7))	40	115
((4, 7), (4, 7), (5, 5))	98	100
((2, 5), (3, 7), (4, 7))	64	90
((7, 7), (7, 7), (7, 7))	42	89
((4, 7), (5, 6), (6, 7))	60	85
((2, 7), (3, 4), (5, 7))	65	83
((4, 6), (5, 7), (6, 7))	59	69
((6, 6), (6, 6), (6, 6))	96	66
((6, 7), (6, 7), (7, 7))	61	54
((4, 4), (5, 6), (5, 6))	56	44
((2, 5), (3, 4), (4, 5))	48	43
((4, 5), (4, 6), (5, 6))	55	42
((4, 5), (4, 5), (4, 5))	32	16
((4, 6), (4, 6), (5, 5))	57	15
