orbit	id	count
 (((0, 1), (0, 1), (1, 1)), 0), Orbit 0	0	96156290
 (((0, 1), (0, 1), (1, 1)), 1), Orbit 1	1	48078145
 (((1, 1), (1, 1), (1, 1)), 0), Orbit 0	77	3713838
 (((0, 1), (0, 2), (1, 3)), 0), Orbit 0	29	952944
 (((0, 1), (0, 2), (1, 3)), 1), Orbit 1	30	952944
 (((0, 1), (0, 2), (1, 3)), 2), Orbit 2	31	952944
 (((0, 1), (0, 3), (1, 2)), 0), Orbit 0	26	899499
 (((0, 1), (0, 3), (1, 2)), 1), Orbit 1	27	899499
 (((0, 1), (0, 3), (1, 2)), 2), Orbit 2	28	899499
 (((0, 2), (0, 2), (3, 3)), 0), Orbit 0	62	408150
 (((0, 1), (0, 5), (1, 4)), 0), Orbit 0	5	244571
 (((0, 1), (0, 5), (1, 4)), 1), Orbit 1	6	244571
 (((0, 1), (0, 5), (1, 4)), 2), Orbit 2	7	244571
 (((0, 1), (0, 4), (1, 5)), 0), Orbit 0	2	208119
 (((0, 1), (0, 4), (1, 5)), 1), Orbit 1	3	208119
 (((0, 1), (0, 4), (1, 5)), 2), Orbit 2	4	208119
 (((0, 1), (0, 6), (1, 6)), 0), Orbit 0	32	205797
 (((0, 1), (0, 6), (1, 6)), 1), Orbit 1	33	205797
 (((0, 1), (0, 6), (1, 6)), 2), Orbit 2	34	205797
 (((0, 2), (0, 2), (3, 3)), 1), Orbit 1	63	204075
 (((0, 1), (0, 7), (1, 7)), 0), Orbit 0	15	125427
 (((0, 1), (0, 7), (1, 7)), 1), Orbit 1	16	125427
 (((0, 1), (0, 7), (1, 7)), 2), Orbit 2	17	125427
 (((0, 2), (0, 3), (2, 3)), 0), Orbit 0	66	119272
 (((0, 2), (0, 3), (2, 3)), 1), Orbit 1	67	119272
 (((0, 2), (0, 3), (2, 3)), 2), Orbit 2	68	119272
 (((0, 3), (0, 3), (2, 2)), 0), Orbit 0	64	117790
 (((0, 3), (0, 3), (2, 2)), 1), Orbit 1	65	58895
 (((0, 2), (0, 6), (3, 6)), 0), Orbit 0	72	46833
 (((0, 2), (0, 6), (3, 6)), 1), Orbit 1	73	46833
 (((0, 2), (0, 6), (3, 6)), 2), Orbit 2	74	46833
 (((0, 2), (0, 4), (3, 5)), 0), Orbit 0	35	41344
 (((0, 2), (0, 4), (3, 5)), 1), Orbit 1	36	41344
 (((0, 2), (0, 4), (3, 5)), 2), Orbit 2	37	41344
 (((1, 1), (1, 2), (1, 3)), 0), Orbit 0	113	32535
 (((1, 1), (1, 2), (1, 3)), 1), Orbit 1	114	32535
 (((1, 1), (1, 2), (1, 3)), 2), Orbit 2	115	32535
 (((0, 3), (0, 6), (2, 6)), 0), Orbit 0	69	24205
 (((0, 3), (0, 6), (2, 6)), 1), Orbit 1	70	24205
 (((0, 3), (0, 6), (2, 6)), 2), Orbit 2	71	24205
 (((0, 2), (0, 7), (3, 7)), 0), Orbit 0	56	23405
 (((0, 2), (0, 7), (3, 7)), 1), Orbit 1	57	23405
 (((0, 2), (0, 7), (3, 7)), 2), Orbit 2	58	23405
 (((0, 2), (0, 5), (3, 4)), 0), Orbit 0	38	21569
 (((0, 2), (0, 5), (3, 4)), 1), Orbit 1	39	21569
 (((0, 2), (0, 5), (3, 4)), 2), Orbit 2	40	21569
 (((1, 1), (1, 4), (1, 5)), 0), Orbit 0	78	20213
 (((1, 1), (1, 4), (1, 5)), 1), Orbit 1	79	20213
 (((1, 1), (1, 4), (1, 5)), 2), Orbit 2	80	20213
 (((0, 3), (0, 5), (2, 4)), 0), Orbit 0	41	18236
 (((0, 3), (0, 5), (2, 4)), 1), Orbit 1	42	18236
 (((0, 3), (0, 5), (2, 4)), 2), Orbit 2	43	18236
 (((0, 3), (0, 4), (2, 5)), 0), Orbit 0	44	17737
 (((0, 3), (0, 4), (2, 5)), 1), Orbit 1	45	17737
 (((0, 3), (0, 4), (2, 5)), 2), Orbit 2	46	17737
 (((1, 1), (1, 7), (1, 7)), 1), Orbit 1	93	13058
 (((0, 3), (0, 7), (2, 7)), 0), Orbit 0	53	12567
 (((0, 3), (0, 7), (2, 7)), 1), Orbit 1	54	12567
 (((0, 3), (0, 7), (2, 7)), 2), Orbit 2	55	12567
 (((1, 1), (1, 6), (1, 6)), 1), Orbit 1	141	8784
 (((0, 6), (0, 6), (6, 6)), 0), Orbit 0	75	8610
 (((1, 2), (1, 2), (3, 3)), 0), Orbit 0	187	7502
 (((1, 1), (1, 7), (1, 7)), 0), Orbit 0	92	6529
 (((0, 4), (0, 6), (5, 6)), 0), Orbit 0	47	6436
 (((0, 4), (0, 6), (5, 6)), 1), Orbit 1	48	6436
 (((0, 4), (0, 6), (5, 6)), 2), Orbit 2	49	6436
 (((0, 4), (0, 4), (5, 5)), 0), Orbit 0	8	6398
 (((0, 6), (0, 7), (6, 7)), 0), Orbit 0	59	4435
 (((0, 6), (0, 7), (6, 7)), 1), Orbit 1	60	4435
 (((0, 6), (0, 7), (6, 7)), 2), Orbit 2	61	4435
 (((1, 1), (1, 6), (1, 6)), 0), Orbit 0	140	4392
 (((0, 6), (0, 6), (6, 6)), 1), Orbit 1	76	4305
