Graphlet,Enrichment,Z,p_value
"((2, 2), (3, 7), (3, 7))",6.700106951871659,9.598844082163966,8.084597256992128e-22
"((6, 6), (6, 7), (6, 7))",5.911859075180875,3.499004402916568,0.0004669988695469861
"((1, 4), (1, 7), (5, 7))",5.858017007100903,6.953033787359629,3.5751301916092794e-12
"((1, 7), (1, 7), (7, 7))",5.469475062752373,3.3101244531403227,0.000932544978268137
"((6, 7), (6, 7), (7, 7))",4.963042186571599,1.7789130129148722,0.07525402433991547
"((4, 4), (5, 7), (5, 7))",4.963042186571598,3.081167720613989,0.0020619046896152944
"((4, 5), (4, 7), (5, 7))",4.660943966519414,2.3981212565214376,0.016479408949573386
"((2, 7), (3, 7), (7, 7))",4.231646495918942,2.7210077902846947,0.006508322773956422
"((2, 5), (3, 5), (4, 4))",3.941239383453916,2.5661060051159423,0.010284739176480234
"((2, 7), (3, 5), (4, 7))",3.480575039933329,2.3029658398255655,0.02128076516624357
"((2, 4), (3, 7), (5, 7))",3.2951345664942577,2.189939936953115,0.02852859310450174
"((2, 7), (3, 4), (5, 7))",3.228967205721281,1.2404288591382981,0.21481681223763371
"((2, 3), (2, 7), (3, 7))",3.2000510814909413,2.459712254019742,0.013904844902203999
"((4, 7), (5, 6), (6, 7))",3.1529915067631333,1.2124976796132219,0.2253219302805639
"((7, 7), (7, 7), (7, 7))",3.0112840233131046,1.1590376501660016,0.24644083860293575
"((2, 5), (3, 7), (4, 7))",2.977825311942959,1.1461417219756935,0.251736516774135
"((2, 2), (3, 6), (3, 6))",2.8910925358669504,3.5170762528337556,0.00043632841559920976
"((2, 7), (3, 6), (6, 7))",2.593589787821287,1.7139041154756285,0.08654633710876043
"((4, 7), (5, 7), (7, 7))",2.589413314733008,1.3968544518882593,0.16245734391468436
"((2, 4), (3, 6), (5, 6))",2.585250270818646,1.7076826548740258,0.08769524226870944
"((1, 3), (1, 7), (2, 7))",2.350914719954968,1.7621362764268491,0.07804627544245675
"((1, 2), (1, 7), (3, 7))",2.3270993754691722,2.1309418819346146,0.03309393044087555
"((1, 2), (1, 6), (3, 6))",2.08360954771519,2.1232916264291917,0.03372942194718228
"((1, 6), (1, 6), (6, 6))",2.077552543216018,0.7475882177069998,0.45470857370754936
"((1, 1), (1, 6), (1, 6))",1.8916513252096667,3.609569113499503,0.00030670605016815307
"((2, 3), (2, 3), (2, 3))",1.8231583542507912,0.8621566693718624,0.38860131036591616
"((2, 4), (2, 5), (3, 3))",1.8200630089973944,1.7192894740516538,0.08556167563838733
"((2, 3), (2, 6), (3, 6))",1.6785236622642985,0.907114044241809,0.36434649199669034
"((1, 5), (1, 6), (4, 6))",1.6750267379679145,0.521566997963127,0.6019718462774755
"((2, 2), (2, 3), (3, 3))",1.6346057798254907,2.380462948406067,0.01729089980134071
"((1, 1), (1, 2), (1, 3))",1.6310080546741519,6.95247514886673,3.5893207992736905e-12
"((2, 6), (2, 6), (3, 3))",1.5672764799699785,0.9062582331760236,0.36479918690142654
"((2, 4), (3, 4), (5, 5))",1.5141484636998097,0.4178345155166414,0.6760681133678174
"((1, 2), (1, 4), (3, 5))",1.5037646525397736,1.2324207729937096,0.2177919450968706
"((1, 6), (1, 7), (6, 7))",1.4486717733776557,0.3727723994674098,0.709317846644405
"((1, 3), (1, 3), (2, 2))",1.437570840248325,0.9655677800857837,0.33426050430434295
"((2, 6), (3, 6), (6, 6))",1.4068466040675396,0.4850899977557233,0.6276125068479305
"((1, 4), (1, 4), (5, 5))",1.3400213903743317,0.5087577064372812,0.6109220680285801
"((1, 1), (1, 4), (1, 5))",1.3259005495219232,2.830281401090353,0.004650707972938169
"((1, 1), (1, 7), (1, 7))",1.3135452440489694,1.547578503811519,0.12172381019550214
"((2, 7), (2, 7), (3, 3))",1.3105343671142609,0.5425196332123874,0.5874605860660531
"((1, 3), (1, 4), (2, 5))",1.2864205347593585,0.4373944787546858,0.6618252875708217
"((1, 2), (1, 5), (3, 4))",1.2782398000391082,0.42625914743174864,0.6699190225366934
"((4, 4), (4, 5), (5, 5))",1.1601916799777763,0.14872195393169937,0.8817730371584219
"((0, 6), (0, 7), (6, 7))",1.1481581247852222,0.6027003190325276,0.5467080692918129
"((2, 4), (3, 5), (4, 5))",1.1213568120287294,0.11460201308019549,0.9087605840173241
"((1, 5), (1, 5), (4, 4))",1.0635090399796283,0.06158358327416452,0.9508944507746502
"((1, 2), (1, 3), (2, 3))",1.0484274936914086,0.13377279036081827,0.8935822439210246
"((2, 3), (2, 4), (3, 5))",1.030785684903332,0.04288245381055992,0.965795235714145
"((0, 3), (0, 7), (2, 7))",0.938345526799882,-0.4221915487751959,0.6728852096378306
"((0, 2), (0, 7), (3, 7))",0.8702552930437872,-1.2124758829151012,0.22533026896152697
"((0, 4), (0, 7), (5, 7))",0.8666266065476679,-0.4962994741546717,0.6196831372382919
"((1, 2), (1, 2), (3, 3))",0.8573850538252188,-0.5335408927400994,0.5936592116779884
"((0, 3), (0, 6), (2, 6))",0.8304201964724219,-1.6115946164393649,0.10705018296289395
"((0, 4), (0, 5), (4, 5))",0.8248400453701964,-0.6680986255840233,0.5040706391138494
"((0, 3), (0, 3), (2, 2))",0.8008957117102721,-2.951541973729087,0.003161915683289273
"((1, 5), (1, 7), (4, 7))",0.7768239944199024,-0.2532131083559675,0.8001035375225157
"((1, 4), (1, 6), (5, 6))",0.7444563279857398,-0.2961730366315214,0.7670979392315372
"((0, 5), (0, 7), (4, 7))",0.7400512609562383,-0.7994767413781678,0.4240140278210599
"((0, 7), (0, 7), (7, 7))",0.7396622209977911,-0.5243015048303352,0.6000688504028727
"((0, 2), (0, 6), (3, 6))",0.6695385846467098,-4.368435065317913,1.2514001238906805e-05
"((1, 4), (1, 5), (4, 5))",0.6365897341445755,-0.45547796958934506,0.6487654132596309
"((2, 2), (3, 4), (3, 5))",0.5988922415080812,-0.7329961892905842,0.4635607536064774
"((0, 6), (0, 6), (6, 6))",0.5602876893551212,-1.762318252779345,0.07801554164536609
"((0, 4), (0, 6), (5, 6))",0.5413386598777598,-2.2476531334325633,0.024598316655528814
"((0, 2), (0, 4), (3, 5))",0.5380310342543998,-5.737836701539447,9.589350716233423e-09
"((0, 1), (0, 7), (1, 7))",0.4871756113202861,-11.094131903100434,1.3395417266656776e-28
"((1, 3), (1, 6), (2, 6))",0.4612810293887544,-0.7931940944193705,0.4276647477125465
"((0, 5), (0, 6), (4, 6))",0.4359818606841888,-2.2599970967304404,0.023821431025813623
"((1, 3), (1, 5), (2, 4))",0.4220539812202619,-0.8896174145100479,0.3736713521646765
"((0, 4), (0, 4), (5, 5))",0.4188875868628733,-2.0076888599880762,0.04467636515905731
"((0, 5), (0, 5), (4, 4))",0.4054527656200701,-1.6172488726395124,0.10582457064078249
"((0, 3), (0, 5), (2, 4))",0.39680387738656453,-4.975680318281783,6.501887601085371e-07
"((0, 2), (0, 5), (3, 4))",0.38518858641201986,-5.515514913579907,3.4776025108653904e-08
"((0, 2), (0, 3), (2, 3))",0.3617671269875032,-13.464107079312768,2.543746888648128e-41
"((0, 3), (0, 4), (2, 5))",0.3173078784220665,-5.553849548760793,2.794460241292097e-08
"((1, 1), (1, 1), (1, 1))",0.30287103397622994,-47.37978824447287,0.0
