Graphlet,Enrichment,Z,p_value
"((2, 2), (3, 7), (3, 7))",6.700106951871659,9.598844082163966,8.084597256992128e-22
"((6, 6), (6, 7), (6, 7))",5.911859075180875,3.499004402916568,0.0004669988695469861
"((1, 4), (1, 7), (5, 7))",5.858017007100903,6.953033787359629,3.5751301916092794e-12
"((1, 7), (1, 7), (7, 7))",5.469475062752373,3.3101244531403227,0.000932544978268137
"((4, 4), (5, 7), (5, 7))",4.963042186571598,3.081167720613989,0.0020619046896152944
"((4, 5), (4, 7), (5, 7))",4.660943966519414,2.3981212565214376,0.016479408949573386
"((2, 7), (3, 7), (7, 7))",4.231646495918942,2.7210077902846947,0.006508322773956422
"((2, 5), (3, 5), (4, 4))",3.941239383453916,2.5661060051159423,0.010284739176480234
"((2, 7), (3, 5), (4, 7))",3.480575039933329,2.3029658398255655,0.02128076516624357
"((2, 4), (3, 7), (5, 7))",3.2951345664942577,2.189939936953115,0.02852859310450174
"((2, 3), (2, 7), (3, 7))",3.2000510814909413,2.459712254019742,0.013904844902203999
"((2, 2), (3, 6), (3, 6))",2.8910925358669504,3.5170762528337556,0.00043632841559920976
"((1, 2), (1, 7), (3, 7))",2.3270993754691722,2.1309418819346146,0.03309393044087555
"((1, 2), (1, 6), (3, 6))",2.08360954771519,2.1232916264291917,0.03372942194718228
"((1, 1), (1, 6), (1, 6))",1.8916513252096667,3.609569113499503,0.00030670605016815307
"((2, 2), (2, 3), (3, 3))",1.6346057798254907,2.380462948406067,0.01729089980134071
"((1, 1), (1, 2), (1, 3))",1.6310080546741519,6.95247514886673,3.5893207992736905e-12
"((1, 1), (1, 4), (1, 5))",1.3259005495219232,2.830281401090353,0.004650707972938169
