graphlet	id	count
((0, 1), (0, 1), (1, 1))	0	11269
((1, 1), (1, 1), (1, 1))	28	1399
((0, 1), (0, 2), (1, 3))	11	971
((0, 1), (0, 3), (1, 2))	10	708
((0, 1), (0, 7), (1, 7))	6	228
((0, 2), (0, 2), (3, 3))	22	204
((0, 1), (0, 6), (1, 6))	12	199
((1, 1), (1, 2), (1, 3))	44	198
((0, 1), (0, 5), (1, 4))	2	188
((0, 3), (0, 3), (2, 2))	23	176
((0, 1), (0, 4), (1, 5))	1	165
((0, 2), (0, 3), (2, 3))	24	161
((0, 2), (0, 6), (3, 6))	26	117
((1, 1), (1, 4), (1, 5))	29	100
((0, 2), (0, 4), (3, 5))	13	83
((0, 2), (0, 7), (3, 7))	20	76
((0, 3), (0, 6), (2, 6))	25	75
((0, 3), (0, 7), (2, 7))	19	44
((1, 1), (1, 7), (1, 7))	35	32
((1, 1), (1, 6), (1, 6))	53	31
((0, 2), (0, 5), (3, 4))	14	31
((0, 3), (0, 5), (2, 4))	15	27
((2, 2), (2, 3), (3, 3))	92	23
((0, 3), (0, 4), (2, 5))	16	21
((0, 6), (0, 7), (6, 7))	21	19
((2, 2), (3, 7), (3, 7))	87	19
((0, 4), (0, 6), (5, 6))	17	13
((1, 2), (1, 2), (3, 3))	70	12
((1, 4), (1, 7), (5, 7))	37	12
((0, 4), (0, 7), (5, 7))	8	12
((0, 4), (0, 5), (4, 5))	5	12
((2, 2), (3, 6), (3, 6))	94	10
((1, 2), (1, 4), (3, 5))	45	9
((0, 6), (0, 6), (6, 6))	27	9
((2, 4), (2, 5), (3, 3))	76	8
((1, 2), (1, 6), (3, 6))	73	8
((1, 2), (1, 3), (2, 3))	71	8
((0, 5), (0, 7), (4, 7))	7	7
((1, 3), (1, 3), (2, 2))	72	7
((0, 5), (0, 6), (4, 6))	18	7
((1, 2), (1, 7), (3, 7))	64	6
((0, 4), (0, 4), (5, 5))	3	5
((1, 3), (1, 7), (2, 7))	63	4
((2, 6), (2, 6), (3, 3))	95	4
((2, 3), (2, 7), (3, 7))	86	4
((2, 7), (2, 7), (3, 3))	85	4
((1, 4), (1, 4), (5, 5))	30	3
((4, 4), (5, 7), (5, 7))	39	3
((1, 7), (1, 7), (7, 7))	38	3
((2, 7), (3, 5), (4, 7))	67	3
((0, 7), (0, 7), (7, 7))	9	3
((2, 5), (3, 5), (4, 4))	50	3
((1, 3), (1, 4), (2, 5))	47	3
((1, 2), (1, 5), (3, 4))	46	3
((0, 5), (0, 5), (4, 4))	4	3
((6, 6), (6, 7), (6, 7))	90	3
((2, 3), (2, 6), (3, 6))	93	3
((2, 4), (3, 7), (5, 7))	68	3
((2, 7), (3, 6), (6, 7))	88	3
((2, 7), (3, 7), (7, 7))	69	3
((2, 4), (3, 6), (5, 6))	82	3
((4, 5), (4, 7), (5, 7))	41	2
((4, 7), (5, 7), (7, 7))	42	2
((2, 3), (2, 4), (3, 5))	78	2
((2, 6), (3, 6), (6, 6))	96	2
((2, 2), (3, 4), (3, 5))	77	2
((2, 3), (2, 3), (2, 3))	91	2
((1, 5), (1, 7), (4, 7))	36	1
((1, 3), (1, 5), (2, 4))	48	1
((1, 5), (1, 6), (4, 6))	55	1
((7, 7), (7, 7), (7, 7))	43	1
((2, 7), (3, 4), (5, 7))	66	1
((4, 7), (5, 6), (6, 7))	61	1
((1, 4), (1, 6), (5, 6))	54	1
((1, 4), (1, 5), (4, 5))	32	1
((2, 5), (3, 7), (4, 7))	65	1
((4, 4), (4, 5), (5, 5))	34	1
((1, 5), (1, 5), (4, 4))	31	1
((2, 4), (3, 5), (4, 5))	52	1
((1, 6), (1, 7), (6, 7))	59	1
((1, 3), (1, 6), (2, 6))	74	1
((1, 6), (1, 6), (6, 6))	75	1
((2, 4), (3, 4), (5, 5))	51	1
((6, 7), (6, 7), (7, 7))	62	1
