Species	Iterations	Swaps	Edges
txid6239	500	286	3092
txid6239	1000	426	3092
txid6239	5000	995	3092
txid6239	10000	1152	3092
txid6239	25000	1208	3092
txid6239	50000	1251	3092
txid6239	100000	1267	3092
txid7227	500	399	1653
txid7227	1000	478	1653
txid7227	5000	582	1653
txid7227	10000	598	1653
txid7227	25000	613	1653
txid7227	50000	616	1653
txid7227	100000	629	1653
txid7955	500	49	106
txid7955	1000	47	106
txid7955	5000	44	106
txid7955	10000	43	106
txid7955	25000	44	106
txid7955	50000	48	106
txid7955	100000	47	106
txid224308	500	31	68
txid224308	1000	34	68
txid224308	5000	30	68
txid224308	10000	30	68
txid224308	25000	33	68
txid224308	50000	34	68
txid224308	100000	29	68
txid559292	500	353	8138
txid559292	1000	676	8138
txid559292	5000	1973	8138
txid559292	10000	2506	8138
txid559292	25000	2984	8138
txid559292	50000	3222	8138
txid559292	100000	3341	8138
