graphlet	id	count
((0, 1), (0, 1), (1, 1))	0	71727
((0, 1), (0, 3), (1, 2))	10	71369
((1, 1), (1, 1), (1, 1))	28	42900
((0, 3), (0, 5), (2, 4))	15	13741
((0, 1), (0, 2), (1, 3))	11	11767
((0, 2), (0, 3), (2, 3))	24	6458
((1, 3), (1, 3), (2, 2))	72	4656
((0, 3), (0, 6), (2, 6))	25	2720
((0, 2), (0, 2), (3, 3))	22	2562
((2, 2), (2, 3), (3, 3))	92	2027
((0, 1), (0, 5), (1, 4))	2	1885
((0, 3), (0, 7), (2, 7))	19	1109
((0, 1), (0, 4), (1, 5))	1	347
((2, 6), (2, 6), (3, 3))	95	219
((1, 1), (1, 2), (1, 3))	44	148
((0, 3), (0, 4), (2, 5))	16	119
((1, 1), (1, 4), (1, 5))	29	106
((2, 4), (2, 5), (3, 3))	76	94
((2, 2), (3, 4), (3, 5))	77	93
((1, 3), (1, 5), (2, 4))	48	90
((2, 7), (2, 7), (3, 3))	85	73
((1, 2), (1, 2), (3, 3))	70	71
((0, 2), (0, 4), (3, 5))	13	47
((0, 2), (0, 5), (3, 4))	14	44
((1, 5), (1, 5), (4, 4))	31	39
((1, 1), (1, 7), (1, 7))	35	38
((0, 1), (0, 7), (1, 7))	6	37
((1, 2), (1, 3), (2, 3))	71	26
((0, 1), (0, 6), (1, 6))	12	16
((0, 5), (0, 6), (4, 6))	18	16
((2, 3), (2, 4), (3, 5))	78	14
((0, 2), (0, 6), (3, 6))	26	9
((0, 5), (0, 7), (4, 7))	7	8
((1, 2), (1, 4), (3, 5))	45	8
((0, 4), (0, 5), (4, 5))	5	6
((1, 3), (1, 7), (2, 7))	63	5
((2, 2), (3, 7), (3, 7))	87	5
((2, 2), (3, 6), (3, 6))	94	5
((4, 4), (4, 5), (5, 5))	34	4
((2, 4), (3, 5), (4, 5))	52	4
((1, 5), (1, 6), (4, 6))	55	4
((2, 7), (3, 5), (4, 7))	67	4
((2, 6), (3, 5), (4, 6))	81	3
((2, 3), (2, 6), (3, 6))	93	3
((1, 1), (1, 6), (1, 6))	53	2
((4, 6), (4, 6), (5, 5))	58	2
((1, 3), (1, 6), (2, 6))	74	2
((0, 4), (0, 4), (5, 5))	3	1
((0, 6), (0, 6), (6, 6))	27	1
((1, 4), (1, 5), (4, 5))	32	1
((1, 2), (1, 5), (3, 4))	46	1
((2, 4), (3, 4), (5, 5))	51	1
((2, 7), (3, 6), (6, 7))	88	1
((2, 6), (3, 7), (6, 7))	89	1
((2, 3), (2, 3), (2, 3))	91	1
((2, 6), (3, 6), (6, 6))	96	1
((0, 4), (0, 7), (5, 7))	8	0
((0, 7), (0, 7), (7, 7))	9	0
((0, 4), (0, 6), (5, 6))	17	0
((0, 2), (0, 7), (3, 7))	20	0
((0, 6), (0, 7), (6, 7))	21	0
((1, 4), (1, 4), (5, 5))	30	0
((4, 5), (4, 5), (4, 5))	33	0
((1, 5), (1, 7), (4, 7))	36	0
((1, 4), (1, 7), (5, 7))	37	0
((1, 7), (1, 7), (7, 7))	38	0
((4, 4), (5, 7), (5, 7))	39	0
((4, 7), (4, 7), (5, 5))	40	0
((4, 5), (4, 7), (5, 7))	41	0
((4, 7), (5, 7), (7, 7))	42	0
((7, 7), (7, 7), (7, 7))	43	0
((1, 3), (1, 4), (2, 5))	47	0
((2, 5), (3, 4), (4, 5))	49	0
((2, 5), (3, 5), (4, 4))	50	0
((1, 4), (1, 6), (5, 6))	54	0
((4, 5), (4, 6), (5, 6))	56	0
((4, 4), (5, 6), (5, 6))	57	0
((1, 6), (1, 7), (6, 7))	59	0
((4, 6), (5, 7), (6, 7))	60	0
((4, 7), (5, 6), (6, 7))	61	0
((6, 7), (6, 7), (7, 7))	62	0
((1, 2), (1, 7), (3, 7))	64	0
((2, 5), (3, 7), (4, 7))	65	0
((2, 7), (3, 4), (5, 7))	66	0
((2, 4), (3, 7), (5, 7))	68	0
((2, 7), (3, 7), (7, 7))	69	0
((1, 2), (1, 6), (3, 6))	73	0
((1, 6), (1, 6), (6, 6))	75	0
((2, 3), (2, 5), (3, 4))	79	0
((2, 5), (3, 6), (4, 6))	80	0
((2, 4), (3, 6), (5, 6))	82	0
((2, 6), (3, 4), (5, 6))	83	0
((4, 6), (5, 6), (6, 6))	84	0
((2, 3), (2, 7), (3, 7))	86	0
((6, 6), (6, 7), (6, 7))	90	0
((6, 6), (6, 6), (6, 6))	97	0
