term_id	term_label	pValue	fdr	fold_enrichment	expected	number_in_list	number_in_reference	plus_minus
GO:0006979	response to oxidative stress	1.01474837020746e-47	4.640444296958715e-44	48.758620689655174	0.5742574257425742	28	116	+
GO:0034599	cellular response to oxidative stress	2.9551757976565193e-46	6.757009461341631e-43	51.94285714285714	0.5198019801980198	27	105	+
GO:0062197	cellular response to chemical stress	2.1066711861777567e-41	3.211269111463627e-38	35.88157894736842	0.7524752475247525	27	152	+
GO:0070887	cellular response to chemical stimulus	1.763012606342887e-32	2.0155641622015056e-29	17.536977491961416	1.5396039603960396	27	311	+
GO:0042221	response to chemical	4.103112731555721e-30	3.752706904280862e-27	12.56888888888889	2.2277227722772275	28	450	+
GO:0006950	response to stress	1.4030702147964646e-24	1.0693733487107053e-21	7.083434099153568	4.094059405940594	29	827	+
GO:0033554	cellular response to stress	1.855371285408374e-23	1.2120875554532136e-20	7.335927367055771	3.816831683168317	28	771	+
GO:0050896	response to stimulus	6.442489405341598e-20	3.682688006328391e-17	4.906197654941374	5.910891089108911	29	1194	+
GO:0051716	cellular response to stimulus	2.584922354636982e-19	1.3134277697505465e-16	5.22253000923361	5.361386138613861	28	1083	+
GO:0000302	response to reactive oxygen species	1.0954718375727182e-09	5.00959271322004e-07	50.5	0.1188118811881188	6	24	+
GO:0009408	response to heat	5.955742605640957e-08	2.4759646305087358e-05	18.605263157894736	0.37623762376237624	7	76	+
GO:0009266	response to temperature stimulus	7.149134620899773e-08	2.7244160517812216e-05	18.12820512820513	0.3861386138613861	7	78	+
GO:0009628	response to abiotic stimulus	1.3545781870156022e-07	4.764989268632576e-05	9.989010989010989	0.900990099009901	9	182	+
GO:0046685	response to arsenic-containing substance	3.3840690988731014e-07	0.00011053819992247636	62.15384615384615	0.06435643564356436	4	13	+
GO:0098869	cellular oxidant detoxification	4.516440132588033e-07	0.00013769120484216716	30.60606060606061	0.16336633663366334	5	33	+
GO:1990748	cellular detoxification	8.181290490245244e-07	0.0002338315088243219	27.2972972972973	0.18316831683168316	5	37	+
GO:0097237	cellular response to toxic substance	9.388422909100467e-07	0.00025254857625480256	26.57894736842105	0.18811881188118812	5	38	+
GO:0072593	reactive oxygen species metabolic process	1.4235875485642524e-06	0.00036167032553246256	44.88888888888889	0.0891089108910891	4	18	+
GO:1901700	response to oxygen-containing compound	2.020044155007258e-06	0.0004861927326762206	15.149999999999999	0.39603960396039606	6	80	+
GO:0042744	hydrogen peroxide catabolic process	2.168411422785308e-06	0.0004958072718198607	101	0.0297029702970297	3	6	+
GO:0098754	detoxification	3.433779665175615e-06	0.0007477464004213375	20.612244897959183	0.24257425742574257	5	49	+
GO:0042743	hydrogen peroxide metabolic process	3.7820368329615e-06	0.0007861479289605882	86.57142857142857	0.034653465346534656	3	7	+
GO:0009636	response to toxic substance	6.714175825273097e-06	0.001334953306477125	18.035714285714285	0.27722772277227725	5	56	+
GO:0000304	response to singlet oxygen	7.086416306337083e-05	0.013502575737033118	134.66666666666669	0.01485148514851485	2	3	+
GO:0006995	cellular response to nitrogen starvation	8.164809577619438e-05	0.014360643922482189	16.833333333333336	0.2376237623762376	4	48	+
GO:0043562	cellular response to nitrogen levels	8.164809577619438e-05	0.014935069679381477	16.833333333333336	0.2376237623762376	4	48	+
GO:0045454	cell redox homeostasis	0.0001813974516297865	0.030723353566778282	26.34782608695652	0.11386138613861387	3	23	+
GO:0010038	response to metal ion	0.00020661958942323495	0.03374540651544476	25.25	0.1188118811881188	3	24	+
GO:0034605	cellular response to heat	0.00023738261251504564	0.037432782311424266	12.825396825396826	0.3118811881188119	4	63	+
