orbit	protein	count
0	P38715	17432
0	P53228	7504
0	P25373	17546
0	Q08749	15798
0	P89113	4192
0	P22943	23264
0	P38889	10440
0	P38230	12307
0	P27882	10870
0	P40553	12930
0	P38636	12075
0	P36775	41476
0	P38067	5370
0	P38205	29898
0	P38013	32947
0	P38720	33451
0	P43565	15990
0	P19880	22
0	Q07824	17720
0	P33748	3531
0	Q12055	22059
0	Q00582	19130
0	P31378	12334
0	P47137	17573
0	P00431	23736
0	Q12458	13930
0	Q04432	14401
0	Q12438	15001
0	P38699	8069
0	P12611	18632
0	P47140	18072
0	P20604	18533
0	P36152	13752
0	P14065	4298
0	P11412	19607
0	P11792	23194
0	P53938	11104
0	P34078	27209
0	P24814	23325
0	P32642	13501
0	P53615	9590
0	P36077	6693
0	Q01476	19950
0	P38072	11324
0	P50946	14293
0	Q07527	13844
0	P38315	7348
0	P36088	5341
0	P41921	16752
0	Q03533	24805
0	Q03497	42900
0	P32317	16450
0	P00445	32251
0	P34220	13542
0	P23833	17527
0	P33749	8931
0	P38623	20064
0	P52923	6303
0	Q02784	20253
0	P27466	26338
0	P25364	13997
0	P39676	48764
0	P17695	17899
0	Q96VH4	7179
0	P25372	18964
0	Q12172	8859
0	P46683	16678
0	P35169	31285
0	P47170	19173
0	P53879	19124
0	P32485	38395
0	P53214	9587
0	P53978	13711
0	P34227	16123
0	Q07923	5810
0	Q04792	14542
0	P48361	35749
0	Q06630	23757
0	P29509	22077
0	P22517	24155
0	P36060	28173
0	P33751	14144
0	P37261	570
0	Q12329	42166
0	P38345	18073
0	P40029	16528
0	P54783	14680
0	P53169	11770
0	P32477	14559
0	Q06892	11008
0	Q07551	14810
0	Q12181	6202
0	P38068	18706
0	P38820	22466
0	P38816	15510
0	P53290	15711
0	Q12154	27395
0	P40554	12514
0	Q12123	9203
0	Q08952	11964
0	Q07540	13222
0	Q06151	23195
0	Q05948	7849
0	Q05515	22176
0	Q04925	16700
0	Q04120	10422
0	Q03214	6658
0	P53127	9999
0	P40581	20551
0	P38143	13043
0	P36014	9755
0	P34760	50465
0	P32561	30822
0	P32339	10089
0	P25566	6961
0	P15202	12834
0	P06115	13793
0	Q12458	13930
0	P29509	22077
0	Q05515	22176
0	Q06630	23757
0	P53228	7504
0	P27882	10870
0	P53214	9587
0	P15202	12834
0	Q04925	16700
0	Q12329	42166
0	P27466	26338
0	P53127	9999
0	P11412	19607
0	P53879	19124
0	Q00582	19130
0	P54783	14680
0	Q07824	17720
0	P50946	14293
0	P53938	11104
0	P34760	50465
0	P19880	22
0	P47170	19173
0	P00445	32251
0	P47141	14972
0	P47140	18072
0	P47137	17573
0	P31378	12334
0	P46683	16678
0	Q08952	11964
0	Q06892	11008
0	P12611	18632
0	P53615	9590
0	Q03533	24805
0	P41921	16752
0	P89113	4192
0	Q04792	14542
0	P22517	24155
0	P52923	6303
0	Q03214	6658
0	P38636	12075
0	P40202	11890
0	P33748	3531
0	P34227	16123
0	P34220	13542
0	P38205	29898
0	P36775	41476
0	Q12172	8859
0	Q01476	19950
0	P14065	4298
0	Q12108	6167
0	P40553	12930
0	P40554	12514
0	P38889	10440
0	P11792	23194
0	P38720	33451
0	P38699	8069
0	P25372	18964
0	P25364	13997
0	P38820	22466
0	P38816	15510
0	P38715	17432
0	P37261	570
0	P25373	17546
0	P25566	6961
0	Q02784	20253
0	Q08749	15798
0	P38230	12307
0	P23833	17527
0	P38072	11324
0	P38068	18706
0	P38067	5370
0	Q07551	14810
0	Q07527	13844
0	Q12154	27395
0	P20604	18533
0	P36060	28173
0	P34078	27209
0	Q12438	15001
0	P36077	6693
0	P36088	5341
0	P33749	8931
0	Q03497	42900
0	P36014	9755
0	P32642	13501
0	P22943	23264
0	P43565	15990
0	Q12055	22059
0	P00431	23736
0	P40581	20551
0	P40029	16528
0	Q96VH4	7179
0	P32317	16450
0	P00447	16871
0	P38143	13043
0	P38315	7348
0	Q07923	5810
0	P39676	48764
0	Q04120	10422
0	P53290	15711
0	P48361	35749
0	P06115	13793
0	P24814	23325
0	P35169	31285
0	P53169	11770
0	P38623	20064
0	Q05948	7849
0	P32477	14559
0	P32339	10089
0	P32485	38395
0	Q04432	14401
0	P17695	17899
0	P38013	32947
0	P23542	21663
1	P38715	228
1	P53228	63
1	P25373	181
1	Q08749	410
1	P89113	16
1	P22943	281
1	P38889	826
1	P38230	75
1	P27882	180
1	P40553	105
1	P38636	30
1	P36775	16872
1	P38067	21
1	P38205	1210
1	P38013	2522
1	P38720	2763
1	P43565	816
1	P19880	10
1	Q07824	2263
1	P33748	54
1	Q12055	789
1	Q00582	1128
1	P31378	178
1	P47137	305
1	P00431	5577
1	Q12458	85
1	Q04432	55
1	Q12438	43
1	P38699	11
1	P12611	167
1	P47140	61
1	P20604	3342
1	P36152	359
1	P14065	10
1	P11412	126
1	P11792	1243
1	P53938	12
1	P34078	821
1	P24814	2011
1	P32642	265
1	P53615	22
1	P36077	21
1	Q01476	1001
1	P38072	80
1	P50946	93
1	Q07527	117
1	P38315	9
1	P36088	10
1	P41921	121
1	Q03533	676
1	Q03497	19536
1	P32317	29
1	P00445	1526
1	P34220	252
1	P23833	119
1	P33749	281
1	P38623	3435
1	P52923	7
1	Q02784	554
1	P27466	16327
1	P25364	138
1	P39676	3294
1	P17695	543
1	Q96VH4	2
1	P25372	859
1	Q12172	36
1	P46683	79
1	P35169	12270
1	P47170	717
1	P53879	1504
1	P32485	29802
1	P53214	15
1	P53978	594
1	P34227	567
1	Q07923	21
1	Q04792	127
1	P48361	1606
1	Q06630	2945
1	P29509	593
1	P22517	2824
1	P36060	1661
1	P33751	84
1	P37261	1
1	Q12329	5353
1	P38345	43
1	P40029	86
1	P54783	973
1	P53169	250
1	P32477	57
1	Q06892	45
1	Q07551	119
1	Q12181	130
1	P38068	203
1	P38820	1584
1	P38816	38
1	P53290	570
1	Q12154	3154
1	P40554	58
1	Q12123	41
1	Q08952	10
1	Q07540	187
1	Q06151	304
1	Q05948	8
