graphlet	id	count
((0, 1), (0, 1), (1, 1))	0	48992342
((0, 3), (0, 5), (2, 4))	15	8113578
((0, 1), (0, 3), (1, 2))	10	7553198
((0, 1), (0, 2), (1, 3))	11	7042715
((0, 2), (0, 3), (2, 3))	24	3416228
((0, 5), (0, 5), (4, 4))	4	2567989
((0, 3), (0, 6), (2, 6))	25	2559352
((2, 2), (2, 3), (3, 3))	92	2288478
((1, 3), (1, 3), (2, 2))	72	2271327
((0, 2), (0, 2), (3, 3))	22	2166068
((1, 1), (1, 1), (1, 1))	28	1691034
((0, 1), (0, 5), (1, 4))	2	1590361
((2, 6), (2, 6), (3, 3))	95	754256
((0, 1), (0, 4), (1, 5))	1	473715
((1, 1), (1, 2), (1, 3))	44	419068
((1, 3), (1, 5), (2, 4))	48	347542
((0, 3), (0, 7), (2, 7))	19	143874
((0, 3), (0, 4), (2, 5))	16	91042
((2, 4), (2, 5), (3, 3))	76	83633
((1, 5), (1, 5), (4, 4))	31	79550
((1, 2), (1, 2), (3, 3))	70	76640
((2, 7), (2, 7), (3, 3))	85	57643
((1, 1), (1, 4), (1, 5))	29	43812
((2, 3), (2, 4), (3, 5))	78	38061
((0, 1), (0, 6), (1, 6))	12	29647
((2, 5), (3, 5), (4, 4))	50	28474
((1, 2), (1, 3), (2, 3))	71	27384
((0, 2), (0, 6), (3, 6))	26	24046
((0, 2), (0, 5), (3, 4))	14	23938
((0, 5), (0, 6), (4, 6))	18	22197
((2, 2), (3, 4), (3, 5))	77	21011
((1, 3), (1, 6), (2, 6))	74	18389
((2, 6), (3, 5), (4, 6))	81	15651
((2, 7), (3, 5), (4, 7))	67	15421
((1, 2), (1, 4), (3, 5))	45	13864
((2, 3), (2, 6), (3, 6))	93	11264
((2, 6), (3, 6), (6, 6))	96	9513
((2, 2), (3, 6), (3, 6))	94	9184
((0, 6), (0, 6), (6, 6))	27	7567
((0, 5), (0, 7), (4, 7))	7	7155
((1, 3), (1, 4), (2, 5))	47	6844
((1, 3), (1, 7), (2, 7))	63	5977
((0, 1), (0, 7), (1, 7))	6	3942
((2, 3), (2, 3), (2, 3))	91	3863
((2, 4), (3, 5), (4, 5))	52	3215
((1, 5), (1, 6), (4, 6))	55	2219
((1, 2), (1, 5), (3, 4))	46	2130
((2, 4), (3, 4), (5, 5))	51	2128
((0, 4), (0, 4), (5, 5))	3	2009
((1, 1), (1, 6), (1, 6))	53	1615
((0, 4), (0, 5), (4, 5))	5	1518
((6, 6), (6, 6), (6, 6))	97	1279
((0, 2), (0, 7), (3, 7))	20	876
((0, 6), (0, 7), (6, 7))	21	859
((4, 4), (4, 5), (5, 5))	34	833
((4, 6), (4, 6), (5, 5))	58	765
((2, 7), (3, 6), (6, 7))	88	634
((1, 2), (1, 6), (3, 6))	73	629
((0, 4), (0, 6), (5, 6))	17	553
((2, 4), (3, 6), (5, 6))	82	502
((1, 4), (1, 4), (5, 5))	30	489
((2, 3), (2, 7), (3, 7))	86	455
((1, 5), (1, 7), (4, 7))	36	361
((4, 7), (4, 7), (5, 5))	40	354
((2, 6), (3, 7), (6, 7))	89	303
((2, 2), (3, 7), (3, 7))	87	274
((2, 5), (3, 6), (4, 6))	80	270
((1, 4), (1, 5), (4, 5))	32	241
((2, 3), (2, 5), (3, 4))	79	239
((2, 6), (3, 4), (5, 6))	83	207
((6, 6), (6, 7), (6, 7))	90	201
((1, 6), (1, 6), (6, 6))	75	199
((4, 6), (5, 6), (6, 6))	84	199
((1, 1), (1, 7), (1, 7))	35	178
((4, 7), (5, 6), (6, 7))	61	126
((4, 4), (5, 6), (5, 6))	57	100
((1, 6), (1, 7), (6, 7))	59	94
((1, 4), (1, 6), (5, 6))	54	91
((2, 5), (3, 7), (4, 7))	65	40
((1, 2), (1, 7), (3, 7))	64	39
((2, 7), (3, 7), (7, 7))	69	33
((6, 7), (6, 7), (7, 7))	62	31
((2, 4), (3, 7), (5, 7))	68	29
((0, 4), (0, 7), (5, 7))	8	25
((4, 6), (5, 7), (6, 7))	60	24
((4, 5), (4, 6), (5, 6))	56	23
((0, 7), (0, 7), (7, 7))	9	22
((4, 7), (5, 7), (7, 7))	42	20
((1, 7), (1, 7), (7, 7))	38	18
((2, 7), (3, 4), (5, 7))	66	15
((1, 4), (1, 7), (5, 7))	37	11
((4, 4), (5, 7), (5, 7))	39	11
((2, 5), (3, 4), (4, 5))	49	7
((4, 5), (4, 7), (5, 7))	41	4
((7, 7), (7, 7), (7, 7))	43	2
((4, 5), (4, 5), (4, 5))	33	1
