orbit	term_id	term_label	pValue	fdr	fold_enrichment	expected	number_in_list	number_in_reference	plus_minus
1	GO:0006979	response to oxidative stress	1.1235228002846088e-53	9.956659056122204e-50	337.54317207593385	0.06221426394391954	21	71	+
1	GO:0034599	cellular response to oxidative stress	5.214725951378885e-31	2.310645069055984e-27	456.4869565217391	0.02628771715940262	12	30	+
1	GO:0062197	cellular response to chemical stress	7.528917727923129e-30	2.2240422968284924e-26	380.40579710144925	0.031545260591283146	12	36	+
1	GO:0006950	response to stress	2.2452164440803232e-24	4.974277031859956e-21	15.704826485839648	1.3371685461749467	21	1526	+
1	GO:0000302	response to reactive oxygen species	1.0179830769696798e-22	1.8042732056210606e-19	410.8382608695652	0.02190643096616885	9	25	+
1	GO:0034614	cellular response to reactive oxygen species	3.801241475060378e-16	5.614433658664178e-13	526.7157190635452	0.011391344102407802	6	13	+
1	GO:0070887	cellular response to chemical stimulus	9.462488923378009e-16	1.197951097699656e-12	23.036997029435593	0.5643096616885096	13	644	+
1	GO:0042221	response to chemical	2.5727345608235967e-15	2.849946709752339e-12	14.253339608297432	1.0523849436147517	15	1201	+
1	GO:1990748	cellular detoxification	1.196712404943281e-14	1.0605265332607356e-11	326.0621118012423	0.018401402011581833	6	21	+
1	GO:0072593	reactive oxygen species metabolic process	1.4062911930271245e-14	1.132959322964216e-11	159.7704347826087	0.0438128619323377	7	50	+
1	GO:0097237	cellular response to toxic substance	1.196712404943281e-14	1.1783628147341507e-11	326.0621118012423	0.018401402011581833	6	21	+
1	GO:0000303	response to superoxide	1.492759593605829e-13	8.268022199084284e-11	518.7351778656126	0.009638829625114295	5	11	+
1	GO:0000305	response to oxygen radical	1.492759593605829e-13	8.819223679023236e-11	518.7351778656126	0.009638829625114295	5	11	+
1	GO:0019430	removal of superoxide radicals	1.492759593605829e-13	9.449168227524897e-11	518.7351778656126	0.009638829625114295	5	11	+
1	GO:0071450	cellular response to oxygen radical	1.492759593605829e-13	1.0176027321949888e-10	518.7351778656126	0.009638829625114295	5	11	+
1	GO:0071451	cellular response to superoxide	1.492759593605829e-13	1.1024029598779045e-10	518.7351778656126	0.009638829625114295	5	11	+
1	GO:0098869	cellular oxidant detoxification	2.5575536179186616e-13	1.2591688978886211e-10	475.50724637681157	0.010515086863761049	5	12	+
1	GO:0033554	cellular response to stress	2.503337867927763e-13	1.3049753050338727e-10	18.406732117812062	0.651935385553185	12	744	+
1	GO:0098754	detoxification	3.551899632868277e-13	1.6566807656041405e-10	195.63726708074535	0.030669003352636393	6	35	+
1	GO:0050896	response to stimulus	3.794042183565463e-13	1.6811400915378568e-10	4.538932806324111	4.626638220054861	21	5280	+
1	GO:0009636	response to toxic substance	1.1434580073215187e-12	4.825392790896809e-10	163.03105590062114	0.03680280402316367	6	42	+
1	GO:1901700	response to oxygen-containing compound	1.1549617548749027e-11	4.652395941682449e-09	28.294646065397053	0.3180813776287717	9	363	+
