orbit	protein	count
0	Q5TZ51	102
0	Q1ECZ2	374
0	Q6NW59	9
0	A0A2R8Q1W5	1218
0	A8KBY2	747
0	Q6NYD1	14
0	Q9PT92	101
0	Q7ZV14	1
0	Q6P3H4	6
0	Q6P026	428
0	Q5XJ36	1284
0	B3DJI9	5
0	Q6NYD1	14
0	Q498W6	268
0	Q1ECZ2	374
0	Q6VN46	35
0	A7MD59	2
0	Q6P026	428
0	B0UXS0	17
0	A2AWE1	43
0	Q6DGJ6	4
0	Q6DGJ6	4
0	A8KBY2	747
0	Q6P980	5
0	A4QN37	19
0	O73872	128
0	Q6NW59	9
0	Q9PT92	101
0	Q7ZV14	1
0	B0V1A9	89
0	Q5XJ36	1284
0	F1QUT1	2
0	A0A2R8Q1W5	1218
0	E7F079	71
0	Q6P3H4	6
77	Q5TZ51	3
77	Q1ECZ2	22
77	Q6NW59	35
77	A0A2R8Q1W5	493
77	A8KBY2	163
77	Q6NYD1	36
77	Q9PT92	6
77	Q6P3H4	1
77	Q6P026	9
77	Q5XJ36	43
77	Q6NYD1	36
77	Q498W6	331
77	Q1ECZ2	22
77	A7MD59	1
77	Q6P026	9
77	B0UXS0	1
77	A2AWE1	1
77	Q6DGJ6	1
77	Q6DGJ6	1
77	A8KBY2	163
77	A4QN37	2
77	O73872	2
77	Q6NW59	35
77	Q9PT92	6
77	B0V1A9	3
77	Q5XJ36	43
77	A0A2R8Q1W5	493
77	E7F079	1
77	Q6P3H4	1
