orbit	term_id	term_label	pValue	fdr	fold_enrichment	expected	number_in_list	number_in_reference	plus_minus
0	GO:0006979	response to oxidative stress	1.7581702327381866e-147	1.000574679451302e-143	198.98962863834055	0.30152325229496624	60	98	+
0	GO:0006950	response to stress	2.873741953748652e-74	8.177232729391789e-71	17.25750761642246	3.476747705033794	60	1130	+
0	GO:0000302	response to reactive oxygen species	1.1693036849601851e-51	2.218169090369471e-48	213.58220140515223	0.10768687581963078	23	35	+
0	GO:0050896	response to stimulus	1.564127504107721e-48	2.22536240646926e-45	6.5242501192898565	9.196459194996468	60	2989	+
0	GO:1901700	response to oxygen-containing compound	9.653855080666022e-45	1.0988017852814065e-41	72.52431919794066	0.3722889135478665	27	121	+
0	GO:0042221	response to chemical	1.8777340686991394e-40	1.7810307641611335e-37	18.03010649754697	2.1075859981842022	38	685	+
0	GO:0070887	cellular response to chemical stimulus	2.6706004768502147e-36	2.1711981876792244e-33	37.18407891080856	0.7261172198123675	27	236	+
0	GO:0008340	determination of adult lifespan	3.64902627932246e-35	2.595826069453015e-32	33.88201784923097	0.7968828810652677	27	259	+
0	GO:0009636	response to toxic substance	7.2405450706167025e-34	4.5784379996532946e-31	80.25096134385751	0.24921819832543127	20	81	+
0	GO:1990748	cellular detoxification	1.0273347424867967e-28	5.84656201949236e-26	98.11815651098051	0.16306869766972662	16	53	+
0	GO:0098754	detoxification	2.0500215091131616e-28	1.0606065825784548e-25	94.55022354694486	0.16922223343084838	16	55	+
0	GO:0097237	cellular response to toxic substance	7.495759701916457e-28	3.5548640386338796e-25	88.14003889969436	0.18152930495309189	16	59	+
0	GO:0098869	cellular oxidant detoxification	1.5431262839701275e-27	6.755332063133842e-25	105.98360655737704	0.14153132250580047	15	46	+
0	GO:0009628	response to abiotic stimulus	5.188040401086056e-26	2.108938423041482e-23	26.48281724347298	0.8307273277514375	22	270	+
0	GO:0032501	multicellular organismal process	5.654532722751308e-26	2.145329715011846e-23	6.339520519099686	6.467366084938969	41	2102	+
0	GO:0000303	response to superoxide	1.2166294038641758e-25	4.072845845524132e-23	238.34535519125686	0.04615151820841319	11	15	+
0	GO:0000305	response to oxygen radical	1.2166294038641758e-25	4.3273987108693904e-23	238.34535519125686	0.04615151820841319	11	15	+
0	GO:0034599	cellular response to oxidative stress	2.8168441739732687e-24	8.905922330045485e-22	198.62112932604734	0.05538182185009584	11	18	+
0	GO:0062197	cellular response to chemical stress	6.186418829032453e-23	1.8529952397907203e-20	162.50819672131146	0.06768889337233935	11	22	+
0	GO:0009987	cellular process	9.832776712613234e-22	2.7979166135740956e-19	2.3332117260776952	25.715625945727833	60	8358	+
0	GO:0042542	response to hydrogen peroxide	2.635473742185032e-20	7.142133841321437e-18	208.9391100702576	0.04307475032785232	9	14	+
0	GO:0009408	response to heat	1.0690557294805632e-19	2.7654527983972207e-17	54.169398907103826	0.23998789468374862	13	78	+
0	GO:0010604	positive regulation of macromolecule metabolic process	1.3028046846795634e-19	3.2235919393527806e-17	13.516749821810407	1.6276102088167053	22	529	+
0	GO:0072593	reactive oxygen species metabolic process	1.4988794441578402e-19	3.554217881959279e-17	182.82172131147541	0.049228286088974074	9	16	+
0	GO:0008150	biological_process	1.740771151709786e-19	3.8102802401463045e-17	2.0269911052039666	30.093866639765967	61	9781	+
0	NA	UNCLASSIFIED	1.740771151709786e-19	3.9626914497521565e-17	0	30.906133360234037	0	10045	-
0	GO:0009266	response to temperature stimulus	2.9935514400279757e-19	6.309741201925633e-17	40.26751777165241	0.34767477050337936	14	113	+
0	GO:0010628	positive regulation of gene expression	4.78446156070548e-19	9.724418122133886e-17	32.07398619499568	0.4676687178452537	15	152	+
0	GO:0009893	positive regulation of metabolic process	5.739466227995283e-19	1.1263207690869364e-16	12.610865354034752	1.7445273882780188	22	567	+
0	GO:0010557	positive regulation of macromolecule biosynthetic process	1.0801743995463454e-18	2.0490908359394172e-16	15.012304547003367	1.332240492282861	20	433	+
