orbit	protein	count
0	WBGene00012315	1349
0	WBGene00003965	10
0	WBGene00001527	1828
0	WBGene00001173	2207
0	WBGene00001486	23
0	WBGene00020511	1717
0	WBGene00016391	2362
0	WBGene00000238	865
0	WBGene00000907	606
0	WBGene00008443	883
0	WBGene00011433	31
0	WBGene00000223	1303
0	WBGene00001758	440
0	WBGene00008117	3056
0	WBGene00021882	1391
0	WBGene00021929	2188
0	WBGene00022380	1098
0	WBGene00020902	646
0	WBGene00017601	163
0	WBGene00017144	677
0	WBGene00016204	731
0	WBGene00015943	1520
0	WBGene00015184	2060
0	WBGene00013766	3720
0	WBGene00011045	3041
0	WBGene00011110	4134
0	WBGene00009897	1746
0	WBGene00009165	695
0	WBGene00006514	4
0	WBGene00006434	5714
0	WBGene00004804	76
0	WBGene00004773	1174
0	WBGene00004758	279
0	WBGene00004393	133
0	WBGene00004256	884
0	WBGene00004257	883
0	WBGene00004015	2578
0	WBGene00004055	1790
0	WBGene00004014	2701
0	WBGene00003919	33
0	WBGene00003877	1357
0	WBGene00003822	957
0	WBGene00003582	742
0	WBGene00003225	756
0	WBGene00003068	3
0	WBGene00001994	880
0	WBGene00001827	1288
0	WBGene00001957	12
0	WBGene00001251	120
0	WBGene00000912	104
0	WBGene00000967	2599
0	WBGene00000830	1449
0	WBGene00000898	44
0	WBGene00000831	2724
0	WBGene00000467	114
0	WBGene00000253	905
0	WBGene00000240	2522
0	WBGene00000090	887
0	WBGene00020511	1717
0	WBGene00004256	884
0	WBGene00020902	646
0	WBGene00022380	1098
0	WBGene00009165	695
0	WBGene00009165	695
0	WBGene00000898	44
0	WBGene00000898	44
0	WBGene00003822	957
0	WBGene00001486	23
0	WBGene00001486	23
0	WBGene00021929	2188
0	WBGene00021929	2188
0	WBGene00008117	3056
0	WBGene00008117	3056
0	WBGene00021882	1391
0	WBGene00001758	440
0	WBGene00001827	1288
0	WBGene00001827	1288
0	WBGene00001251	120
0	WBGene00011433	31
0	WBGene00003225	756
0	WBGene00001994	880
0	WBGene00003068	3
0	WBGene00001957	12
0	WBGene00006514	4
0	WBGene00006514	4
0	WBGene00006514	4
0	WBGene00011110	4134
0	WBGene00006434	5714
0	WBGene00006434	5714
0	WBGene00006434	5714
0	WBGene00006434	5714
0	WBGene00006434	5714
0	WBGene00004804	76
0	WBGene00004804	76
0	WBGene00004804	76
0	WBGene00003877	1357
0	WBGene00003877	1357
0	WBGene00004773	1174
0	WBGene00004758	279
0	WBGene00004758	279
0	WBGene00004758	279
0	WBGene00003919	33
0	WBGene00003965	10
0	WBGene00004393	133
0	WBGene00009897	1746
0	WBGene00004257	883
0	WBGene00000090	887
0	WBGene00015184	2060
0	WBGene00003582	742
0	WBGene00013766	3720
0	WBGene00000830	1449
0	WBGene00000830	1449
0	WBGene00000831	2724
0	WBGene00000831	2724
0	WBGene00000907	606
0	WBGene00000912	104
0	WBGene00000912	104
0	WBGene00000967	2599
0	WBGene00001173	2207
0	WBGene00004055	1790
0	WBGene00004055	1790
0	WBGene00004055	1790
0	WBGene00004015	2578
0	WBGene00004014	2701
0	WBGene00008443	883
0	WBGene00001527	1828
0	WBGene00001527	1828
0	WBGene00001527	1828
0	WBGene00001527	1828
0	WBGene00000253	905
0	WBGene00000253	905
0	WBGene00000240	2522
0	WBGene00000240	2522
0	WBGene00000238	865
0	WBGene00000223	1303
0	WBGene00017144	677
0	WBGene00015943	1520
0	WBGene00012315	1349
0	WBGene00017601	163
0	WBGene00000467	114
0	WBGene00011045	3041
0	WBGene00016391	2362
0	WBGene00004932	883
0	WBGene00004932	883
0	WBGene00004932	883
0	WBGene00004932	883
0	WBGene00004932	883
