orbit	protein	count
1	FBgn0011828	4897
1	FBgn0030334	102
1	FBgn0023000	56
1	FBgn0034110	21515
1	FBgn0010385	183
1	FBgn0037170	12153
1	FBgn0020653	18643
1	FBgn0024846	37910
1	FBgn0032231	413
1	FBgn0036892	19945
1	FBgn0052262	1597
1	FBgn0050487	7717
1	FBgn0037292	2419
1	FBgn0030481	1641
1	FBgn0039930	953
1	FBgn0036217	1602
1	FBgn0003495	734
1	FBgn0030718	1450
1	FBgn0005626	5669
1	FBgn0038295	685
1	FBgn0026872	2207
1	FBgn0011455	5518
1	FBgn0005655	45104
1	FBgn0030876	2247
1	FBgn0034658	15840
1	FBgn0040305	283
1	FBgn0052263	1691
1	FBgn0003360	39698
1	FBgn0032813	20650
1	FBgn0036820	25501
1	FBgn0051659	622
1	FBgn0003256	41967
1	FBgn0260747	6018
1	FBgn0033799	62
1	FBgn0267339	5415
1	FBgn0029580	2207
1	FBgn0038435	735
1	FBgn0038436	1791
1	FBgn0031971	265
1	FBgn0000422	2647
1	FBgn0001248	25622
1	FBgn0039576	8227
1	FBgn0040805	3001
1	FBgn0032935	12073
1	FBgn0027864	7946
1	FBgn0032901	6009
1	FBgn0261862	8653
1	FBgn0014391	7933
1	FBgn0037248	697
1	FBgn0041094	11131
1	FBgn0003301	2464
1	FBgn0243512	7242
1	FBgn0003068	12485
1	FBgn0015765	32974
1	FBgn0041100	41137
1	FBgn0013576	11760
1	FBgn0086711	2506
1	FBgn0020278	9762
1	FBgn0261244	3267
1	FBgn0026575	5827
1	FBgn0038197	31646
1	FBgn0011205	8380
1	FBgn0030092	18772
1	FBgn0263933	14725
1	FBgn0039802	17032
1	FBgn0038511	1231
1	FBgn0262975	4645
1	FBgn0036165	11695
1	FBgn0263986	18
1	FBgn0000229	31816
1	FBgn0000173	13749
1	FBgn0086361	15288
1	FBgn0030872	1016
1	FBgn0040070	30686
1	FBgn0044810	2603
1	FBgn0026761	33626
1	FBgn0044812	281
1	FBgn0261560	27859
1	FBgn0038805	18403
1	FBgn0003462	24235
